tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,tuned_tileX,tuned_tileY,tuned_vec,compute_time,energy,iterations,wait_after_run
2,4,16,256,250,4,2,0.692512,38.29287131942249,10,0
1,8,8,1024,2,378,2,4.15184,85.73587617592746,10,0
8,8,32,512,448,2,2,0.385152,85.3018121079031,10,0
1,256,128,256,2,406,2,0.385024,84.10419678902888,10,0
4,32,512,64,608,1,2,18.878464,57.05128675460633,10,0
16,1,32,64,996,1,2,1.47264,71.44541486890269,10,0
2,2,2,8,2,232,2,153.064192,64.03444721562025,10,0
4,1,256,512,732,1,4,0.86864,85.4887494711653,10,0
4,128,1024,512,100,8,2,0.46912,88.06414776075562,10,0
2,4,64,16,676,1,4,18.16448,59.66042489135996,10,0
8,8,16,1024,114,4,2,0.133728,60.6276606316227,10,0
4,4,4,16,10,76,2,14.299872,53.51082705989231,10,0
2,1,2,256,424,1,2,3.02352,74.24622675771472,10,0
8,2,8,64,168,6,4,1.083488,69.08559128986984,10,0
2,32,32,64,430,1,2,20.880224,56.9726975077371,10,0
2,32,4,32,98,2,2,53.069536,52.90415801040173,10,0
4,4,256,1024,16,52,2,0.208192,61.63356935292203,10,0
2,1,1024,64,8,56,2,0.794624,64.76048269142821,10,0
2,2,4,32,252,1,4,6.02944,92.01533529785398,10,0
2,32,256,256,2,496,2,0.530592,81.13327854755433,10,0
2,8,32,16,94,10,2,1.818816,88.95628012520183,10,0
256,4,1024,1024,72,6,4,0.187136,68.28176519405997,10,0
1,16,512,64,164,1,2,8.30272,56.84998347245882,10,0
16,1,64,64,60,8,4,0.161696,68.52421927327158,10,0
1,2,512,512,2,372,2,3.63712,75.20867293959348,10,0
128,8,1024,128,16,32,4,0.375008,90.99426792532785,10,0
16,2,16,8,412,1,4,6.686048,107.72464767967702,10,0
4,256,64,512,4,172,2,0.16624,91.37417713653215,10,0
64,2,128,128,2,438,2,40.718912,71.65099166078096,10,0
4,2,1024,8,424,1,4,5.786304,99.21433076448623,10,0
2,1,4,8,4,238,2,29.529024,78.24431629836617,10,0
32,32,32,1024,474,2,2,0.39936,90.78470462501444,10,0
256,2,1024,32,28,10,2,0.554528,60.62236396286583,10,0
8,32,32,512,60,8,2,0.215072,65.50531214925434,10,0
16,4,256,512,544,1,4,0.194304,61.34322004838561,10,0
1,1,1,1024,368,2,2,3.999776,73.33242931677668,10,0
2,8,512,32,12,42,4,0.2744,89.12284310819707,10,0
16,4,512,4,106,8,2,1.312768,84.96086374048002,10,0
4,8,128,1024,16,42,4,0.13312,66.33915064094869,10,0
128,8,1024,512,72,4,2,0.163392,63.53122162501924,10,0
8,8,512,16,408,1,4,3.569856,81.10025997233589,10,0
1,128,64,512,4,136,4,0.293216,92.89009206196742,10,0
8,16,64,16,36,8,4,1.417024,90.41670789833528,10,0
1,1,64,256,274,2,2,2.971648,51.18627051662418,10,0
8,128,8,256,12,48,4,2.552192,91.25374033233186,10,0
1,32,2,512,26,18,2,0.831616,84.89563557963614,10,0
8,1,256,2,32,32,4,1.128448,92.56770442719764,10,0
2,1,256,32,8,106,4,1.304352,69.27276499282023,10,0
1,8,512,256,552,1,2,4.439968,75.59901172302483,10,0
2,2,4,512,2,190,2,23.686368,71.9448292859255,10,0
8,1,8,8,434,1,2,9.064448,79.37713563423834,10,0
16,2,32,1024,2,396,2,52.39392,55.246121380106445,10,0
2,16,64,128,296,2,4,2.639872,69.6214751058588,10,0
32,4,1024,1024,4,142,2,0.365184,83.65977262814802,10,0
8,2,64,128,2,412,2,11.725024,70.61694265208325,10,0
16,2,32,256,126,2,2,0.241568,64.38861669728423,10,0
8,1,128,1,20,16,2,8.84736,51.91729407828001,10,0
16,2,16,8,10,48,2,16.798432,57.566995228620016,10,0
2,2,4,512,8,84,2,4.829184,79.10142562431149,10,0
1,4,64,32,4,140,4,0.480128,97.65003250814542,10,0
4,16,32,128,100,2,4,1.113792,92.3395093251012,10,0
2,4,64,32,2,142,2,1.019904,68.10544266376579,10,0
16,4,128,4,4,58,4,12.01952,56.59894650423645,10,0
8,8,1024,128,4,152,2,0.247808,62.1334331863152,10,0
1,1,8,16,4,208,4,11.29792,58.02799145189572,10,0
8,128,128,512,4,218,2,0.29296,57.82135480633042,10,0
8,2,64,1024,672,1,2,0.602112,60.784237150572,10,0
1,2,32,1024,244,1,2,1.705984,68.31931085590992,10,0
4,8,8,32,2,492,2,15.006528,52.56188887031604,10,0
1,64,8,256,28,2,2,4.13664,84.31645285428581,10,0
1,32,128,256,928,1,2,16.244832,76.85062358399834,10,0
2,256,4,256,564,1,2,44.977088,80.75386187400284,10,0
2,1,1024,256,56,10,2,0.811776,63.32209866214262,10,0
4,2,32,256,8,50,2,0.771584,62.60182527700927,10,0
1,8,8,64,104,8,2,1.70544,72.44528028665147,10,0
1,128,8,256,38,6,2,3.7376,75.2934436242897,10,0
1,16,512,16,8,8,4,0.308224,92.86444147462916,10,0
2,4,1024,64,192,1,4,2.251328,91.58850094429262,10,0
128,8,128,16,58,16,2,3.500448,82.26021610288197,10,0
8,1,128,16,2,448,2,12.406784,75.08331268403208,10,0
64,1,256,64,684,1,4,0.238368,92.89672822787354,10,0
1,8,1,64,4,210,2,16.056896,52.10043628645656,10,0
8,4,64,64,116,4,2,0.471232,61.16641828716725,10,0
256,2,256,1024,60,8,4,0.172256,65.7671041976962,10,0
2,16,256,64,8,36,2,0.154528,57.4566815045314,10,0
1,1,8,2,256,1,4,43.356416,57.27580807621892,10,0
1,8,16,16,8,42,4,1.726464,67.42941061985339,10,0
1,32,128,1024,660,1,2,4.288512,78.03680633384992,10,0
4,128,64,512,4,112,2,0.149504,84.0652617504511,10,0
32,1,512,1024,32,12,2,0.105536,83.18920944576003,10,0
2,32,8,256,68,8,4,0.725536,66.72024352384086,10,0
16,4,512,4,682,1,2,14.573408,29.08108976584129,10,0
16,8,256,512,8,80,4,0.26016,69.12927478968672,10,0
16,16,16,128,916,1,2,3.54352,76.28680026910048,10,0
8,128,1024,256,970,1,2,10.907648,71.31690103595889,10,0
32,1,32,512,2,498,2,175.040704,96.79547160402562,10,0
64,2,512,32,16,32,4,0.310624,90.38362904110627,10,0
32,8,256,128,532,1,2,0.37504,83.49914982810954,10,0
8,64,1024,64,290,2,2,9.947136,49.09729796908769,10,0
1,16,4,512,408,1,4,2.115776,72.38789733957982,10,0
1,256,2,256,328,2,4,52.057024,82.23452259908206,10,0
16,1,1024,2,444,1,4,5.540352,106.3183445775423,10,0
32,32,1024,32,6,124,2,0.5336,86.08322882013516,10,0
8,64,8,64,2,50,2,16.887808,71.39642010062745,10,0
256,1,1024,64,580,1,2,0.139264,62.55972591278925,10,0
1,64,2,256,150,6,2,5.490688,87.22028851412992,10,0
2,1,256,64,2,210,2,2.891776,101.95734309945968,10,0
32,1,512,4,44,10,2,0.584096,87.93130256464428,10,0
4,1,128,64,1016,1,2,5.587296,103.63764364638727,10,0
2,256,128,512,254,1,2,10.294208,77.6390491467815,10,0
64,1,256,4,352,2,2,1.419744,93.3799123121416,10,0
16,2,256,256,20,12,2,0.098304,75.47146608068772,10,0
2,64,128,256,180,1,2,5.16224,76.91113015814578,10,0
32,2,32,256,154,6,2,0.1704,84.56189632885112,10,0
1,4,256,16,32,30,4,0.691264,95.37915471685648,10,0
16,1,64,64,20,16,4,0.352256,66.92361256699914,10,0
2,64,4,1024,260,1,2,3.693984,76.20396352534276,10,0
64,16,128,16,236,4,2,2.098464,98.22887071409676,10,0
2,16,64,64,928,1,4,13.757216,83.5349944569302,10,0
1,512,1024,1024,62,8,2,1.368064,41.92717896903588,10,0
2,64,32,64,4,134,4,0.956416,67.94596578663351,10,0
