tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,tuned_tileX,tuned_tileY,tuned_vec,compute_time,energy,iterations,wait_after_run
2,4,16,256,250,4,2,0.393216,33.58544593837836,10,0
1,8,8,1024,2,378,2,6.167552,31.281920136664613,10,0
8,8,32,512,448,2,2,0.29184,38.08569223938592,10,0
1,256,128,256,2,406,2,0.35328,36.36081936025606,10,0
4,32,512,64,608,1,2,25.259008,31.182600246350464,10,0
16,1,32,64,996,1,2,0.780288,37.74201326817128,10,0
2,2,2,8,2,232,2,167.89296,36.12433742107567,10,0
4,1,256,512,732,1,4,0.816128,49.15189913695202,10,0
4,128,1024,512,100,8,2,0.451616,38.4589556528803,10,0
2,4,64,16,676,1,4,18.400256,35.97875160349031,10,0
8,8,16,1024,114,4,2,0.114688,37.84732008613254,10,0
4,4,4,16,10,76,2,14.390272,31.60459069515882,10,0
2,1,2,256,424,1,2,1.622016,42.55308815483669,10,0
8,2,8,64,168,6,4,1.230848,43.86995971586078,10,0
2,32,32,64,430,1,2,27.763712,34.010804517647856,10,0
2,32,4,32,98,2,2,54.491232,34.43602707363809,10,0
4,4,256,1024,16,52,2,0.137216,38.06270280871029,10,0
2,1,1024,64,8,56,2,0.581664,39.77979174006856,10,0
2,2,4,32,252,1,4,6.903808,39.321367853243856,10,0
2,32,256,256,2,496,2,0.417792,39.680823514814925,10,0
2,8,32,16,94,10,2,1.798144,43.10816730754285,10,0
256,4,1024,1024,72,6,4,0.208896,45.27962064808816,10,0
1,16,512,64,164,1,2,8.651776,32.93930516866664,10,0
16,1,64,64,60,8,4,0.160768,39.628127759463226,10,0
1,2,512,512,2,372,2,2.241536,48.09418407325843,10,0
128,8,1024,128,16,32,4,0.474112,47.72966312314687,10,0
16,2,16,8,412,1,4,6.837248,34.83165205885713,10,0
4,256,64,512,4,172,2,0.234496,39.72994894037437,10,0
64,2,128,128,2,438,2,56.766464,34.69514467124765,10,0
4,2,1024,8,424,1,4,7.880672,34.727460605317816,10,0
2,1,4,8,4,238,2,42.38336,32.9396521813805,10,0
32,32,32,1024,474,2,2,0.411648,39.405156488801694,10,0
256,2,1024,32,28,10,2,0.543744,38.61668194535998,10,0
8,32,32,512,60,8,2,0.195584,37.32028515167539,10,0
16,4,256,512,544,1,4,0.117952,42.66675678671999,10,0
1,1,1,1024,368,2,2,2.694144,44.64831394824319,10,0
2,8,512,32,12,42,4,0.202752,45.97880528862738,10,0
16,4,512,4,106,8,2,1.332224,41.37934476647243,10,0
4,8,128,1024,16,42,4,0.09728,40.078291170879055,10,0
128,8,1024,512,72,4,2,0.145408,39.00920809625744,10,0
8,8,512,16,408,1,4,5.690368,35.49862415623816,10,0
1,128,64,512,4,136,4,0.227328,41.564192800111584,10,0
8,16,64,16,36,8,4,1.429504,44.7459888752373,10,0
1,1,64,256,274,2,2,2.337792,35.945268416752896,10,0
8,128,8,256,12,48,4,3.818496,47.32705741723595,10,0
1,32,2,512,26,18,2,1.204224,40.51526848797057,10,0
8,1,256,2,32,32,4,1.128448,49.74296334494284,10,0
2,1,256,32,8,106,4,0.86528,43.11407222874948,10,0
1,8,512,256,552,1,2,3.753056,47.75459613874914,10,0
2,2,4,512,2,190,2,33.604608,34.07658359672587,10,0
8,1,8,8,434,1,2,12.980224,31.82462974228695,10,0
16,2,32,1024,2,396,2,51.391488,34.361785322018434,10,0
2,16,64,128,296,2,4,2.742272,49.01002059403144,10,0
32,4,1024,1024,4,142,2,0.453632,40.464753523864566,10,0
8,2,64,128,2,412,2,15.654912,32.8731004822268,10,0
16,2,32,256,126,2,2,0.24576,39.480672668003095,10,0
8,1,128,1,20,16,2,8.800256,31.856180117,10,0
16,2,16,8,10,48,2,17.0528,32.377191410613776,10,0
2,2,4,512,8,84,2,6.040608,33.23355519399069,10,0
1,4,64,32,4,140,4,0.536576,43.13755060870402,10,0
4,16,32,128,100,2,4,1.14688,43.385281441489866,10,0
2,4,64,32,2,142,2,0.937984,45.58816519457784,10,0
16,4,128,4,4,58,4,12.08832,35.56569994402953,10,0
8,8,1024,128,4,152,2,0.146432,38.20730104200217,10,0
1,1,8,16,4,208,4,11.10528,36.09242129944147,10,0
8,128,128,512,4,218,2,0.252928,38.74696382979202,10,0
8,2,64,1024,672,1,2,0.399456,39.36138766979295,10,0
1,2,32,1024,244,1,2,1.042432,44.64931234902001,10,0
4,8,8,32,2,492,2,16.68096,31.93092900699517,10,0
1,64,8,256,28,2,2,5.90848,32.43493619215449,10,0
1,32,128,256,928,1,2,23.119872,33.8848099228636,10,0
2,256,4,256,564,1,2,78.389184,36.48006029507211,10,0
2,1,1024,256,56,10,2,0.562176,41.1597851748072,10,0
4,2,32,256,8,50,2,0.76288,40.7487518831397,10,0
1,8,8,64,104,8,2,1.727488,40.32578521085623,10,0
1,128,8,256,38,6,2,4.262912,48.98497339983389,10,0
1,16,512,16,8,8,4,0.413696,41.78273269763325,10,0
2,4,1024,64,192,1,4,1.611776,45.32198233365988,10,0
128,8,128,16,58,16,2,4.034688,47.39566839258372,10,0
8,1,128,16,2,448,2,16.995328,32.4151236838986,10,0
64,1,256,64,684,1,4,0.232448,40.980165719636,10,0
1,8,1,64,4,210,2,15.97952,36.282303492325376,10,0
8,4,64,64,116,4,2,0.483328,38.674415516564366,10,0
256,2,256,1024,60,8,4,0.165888,40.315701455955,10,0
2,16,256,64,8,36,2,0.103424,39.24121657679072,10,0
1,1,8,2,256,1,4,44.635136,36.5734760485315,10,0
1,8,16,16,8,42,4,1.755136,45.57943451130125,10,0
1,32,128,1024,660,1,2,4.473856,53.28716889376503,10,0
4,128,64,512,4,112,2,0.177152,39.82782091289722,10,0
32,1,512,1024,32,12,2,0.101536,38.40203336771364,10,0
2,32,8,256,68,8,4,0.730112,41.4578466949752,10,0
16,4,512,4,682,1,2,20.27008,27.5800422205,10,0
16,8,256,512,8,80,4,0.18944,36.63600130167999,10,0
16,16,16,128,916,1,2,4.34688,43.59562288986355,10,0
8,128,1024,256,970,1,2,16.4168,35.87745379882099,10,0
32,1,32,512,2,498,2,245.02784,42.860599715760486,10,0
64,2,512,32,16,32,4,0.418848,42.74069624315152,10,0
32,8,256,128,532,1,2,0.44752,38.529933545756805,10,0
8,64,1024,64,290,2,2,10.315776,33.23731137244998,10,0
1,16,4,512,408,1,4,2.04704,45.72689622865137,10,0
1,256,2,256,328,2,4,75.782144,36.72921482991601,10,0
16,1,1024,2,444,1,4,5.878784,35.70292796404763,10,0
32,32,1024,32,6,124,2,0.570368,41.39562354641559,10,0
8,64,8,64,2,50,2,20.5568,33.14228624625722,10,0
256,1,1024,64,580,1,2,0.13824,37.44810498473736,10,0
1,64,2,256,150,6,2,7.73632,33.88758247314951,10,0
2,1,256,64,2,210,2,2.627584,47.46074168455,10,0
32,1,512,4,44,10,2,0.811072,39.6172577849657,10,0
4,1,128,64,1016,1,2,2.615296,44.98788490233512,10,0
2,256,128,512,254,1,2,15.79008,33.482993116429334,10,0
64,1,256,4,352,2,2,2.004992,44.84568269306168,10,0
16,2,256,256,20,12,2,0.073728,42.69020810840004,10,0
2,64,128,256,180,1,2,6.140928,31.35981861891278,10,0
32,2,32,256,154,6,2,0.216064,39.38314675194617,10,0
1,4,256,16,32,30,4,0.672864,42.6552928756164,10,0
16,1,64,64,20,16,4,0.366624,41.03836968432678,10,0
2,64,4,1024,260,1,2,4.187136,50.42613871836495,10,0
64,16,128,16,236,4,2,2.912256,52.274414851742776,10,0
2,16,64,64,928,1,4,19.703808,37.64713439186216,10,0
1,512,1024,1024,62,8,2,1.461408,43.87652160907466,10,0
2,64,32,64,4,134,4,0.954368,42.57735675331012,10,0
16,16,128,1024,492,1,2,0.185344,40.82823762540125,10,0
32,4,1024,8,620,1,2,4.887552,48.96536381715544,10,0
1,4,256,256,52,16,2,0.310272,38.82280186816703,10,0
16,32,128,256,958,1,2,2.09408,43.674007056766825,10,0
2,2,1024,64,112,4,4,0.537664,42.32741506797044,10,0
4,1,8,128,14,72,2,6.209536,31.85992763624276,10,0
64,16,512,32,156,2,4,0.632832,42.182262510369455,10,0
128,4,1024,64,240,1,4,0.223232,40.68085749213368,10,0
16,1,64,1024,508,2,2,0.49664,39.34186046338333,10,0
2,64,128,1024,6,24,2,0.095232,40.08585982960384,10,0
16,64,32,512,18,32,2,0.35024,41.32640929770421,10,0
2,1,64,8,406,1,2,16.493696,34.661302417648265,10,0
4,32,64,1024,332,2,2,0.712704,40.5444384909943,10,0
2,2,1024,4,4,242,4,1.119232,43.48704830449306,10,0
1,64,2,512,706,1,2,19.50208,32.7728709441738,10,0
2,1,8,512,6,6,2,0.835712,41.15032248703999,10,0
