tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,compute_time,energy,iterations,wait_after_run
256,64,16,64,51.974176,513.9840153818304,10,0
1024,512,16,64,111.667584,1650.0818942938524,10,0
16,128,8,8,176.045152,1409.185519795075,10,0
128,2,16,1,22.28224,213.375982434827,10,0
128,32,1,4,56.999904,857.0043945567548,10,0
64,16,4,8,44.183104,383.9682833952129,10,0
64,2,64,2,47.136768,361.616790526753,10,0
512,1024,4,16,372.125952,5495.05351442694,10,0
128,2,64,2,23.901376,232.61605662880845,10,0
512,256,2,4,236.540512,3523.546834858024,10,0
8,1,8,1,345.932288,2242.6455505903587,10,0
1,512,1,512,6703.64688,871.2358799105465,10,0
512,64,8,2,31.561472,547.2883736548554,10,0
128,1024,8,64,224.734752,3262.300257092108,10,0
1024,512,4,16,141.316,2152.7252991880086,10,0
1024,1024,2,16,227.336032,3414.8768710539875,10,0
128,512,2,1,1946.884096,611.3301131935714,10,0
8,8,2,2,344.576672,2454.520163797117,10,0
1024,512,256,1,465.256864,181.1161937309552,10,0
256,256,4,32,59.8096,935.5675261307936,10,0
128,256,4,32,60.538304,957.5120877290808,10,0
128,256,1,1,1900.218528,587.2614060196562,10,0
256,512,8,128,122.067616,1836.5944645909872,10,0
128,2,32,2,22.989824,252.99039200389325,10,0
16,64,4,16,181.258112,1419.5998807283574,10,0
4,64,2,16,649.959968,152.57178514708005,10,0
128,1024,4,64,241.972768,3486.9758989507905,10,0
512,64,128,2,15.011136,311.7733001493982,10,0
1024,128,16,8,28.027616,500.7861271966998,10,0
2,1024,1,64,1253.613568,278.5806391889417,10,0
8,8,1,1,346.410336,2833.377068777255,10,0
64,32,8,8,45.409696,456.6112148532112,10,0
32,32,16,4,91.137984,758.5971553710535,10,0
1024,1024,2,4,861.216224,303.7620131762964,10,0
64,64,2,1,236.165152,3348.0384303954825,10,0
32,8,8,4,91.445056,713.8641010571191,10,0
128,512,16,4,123.950752,1852.635128703498,10,0
256,128,16,64,53.917696,840.233234365568,10,0
512,128,16,4,30.390272,536.9399990116624,10,0
128,256,4,4,130.054144,1919.741882652596,10,0
8,4,1,1,344.57408,2674.882685749469,10,0
16,16,2,2,184.39392,1560.5545471136793,10,0
64,64,1,16,47.763968,684.9911067256091,10,0
256,1,8,1,11.479648,178.4593475705568,10,0
32,8,1,2,91.742176,915.4419947573012,10,0
16,1024,1,32,253.025216,3670.835007806982,10,0
32,32,16,8,100.039552,833.0005939570505,10,0
256,2,256,1,18.13872,216.62480980877567,10,0
256,512,8,1,529.872672,215.87109886314457,10,0
2,1024,2,1,3521.16736,978.1984602354576,10,0
1024,1024,64,16,237.09952,3526.5918853198905,10,0
16,128,8,64,432.272096,3314.034958177083,10,0
8,64,8,4,344.569856,2551.8702656528244,10,0
2,16,2,16,1259.10016,227.15005539280864,10,0
16,8,1,4,181.481984,1392.9573542854662,10,0
64,32,32,4,50.034272,480.63093761969816,10,0
128,1,1,1,22.736672,284.6532713428591,10,0
1024,4,2,2,7.316448,190.49402496351195,10,0
256,1024,16,64,246.977888,3611.8093020410033,10,0
256,32,256,1,17.455296,290.7032545760275,10,0
4,2,1,2,650.010784,149.9521991868273,10,0
512,64,1,2,210.274304,3150.389239920464,10,0
1024,512,2,128,105.63984,1646.4843140419805,10,0
128,128,8,128,107.906304,1224.490092003261,10,0
8,16,2,16,346.593952,2489.752620419144,10,0
32,1024,1,16,496.572416,207.2026878515904,10,0
64,256,8,2,126.528,1874.744983152266,10,0
128,256,8,32,58.003456,925.6996249585612,10,0
1024,128,32,4,28.157408,505.4033923223242,10,0
1024,256,8,1,262.458432,3920.0078229628425,10,0
256,4,16,4,11.502592,186.13874660861524,10,0
8,1024,8,4,375.73024,5414.223805498366,10,0
512,256,16,1,137.673312,2100.900716167617,10,0
512,4,64,4,7.818656,164.84467639627516,10,0
64,64,32,1,45.893312,602.8085188260391,10,0
1024,1024,1,16,446.963712,6655.217625119796,10,0
32,512,16,32,215.132224,2975.095477953747,10,0
256,1024,4,128,231.441184,3347.4308980472247,10,0
256,4,1,2,16.258912,333.0631606322365,10,0
512,1024,256,4,275.73472,4037.051847061032,10,0
16,1024,4,64,255.086752,3814.5976563318095,10,0
1024,8,8,2,4.374432,171.11339610510726,10,0
32,64,2,32,91.391616,923.3464170616418,10,0
32,256,4,256,434.681856,4057.704207928711,10,0
256,64,4,16,16.638304,348.4861624716923,10,0
1024,16,64,1,4.551872,164.47546556520862,10,0
128,512,4,32,121.647136,1814.894692259984,10,0
256,32,4,32,12.46208,266.460309504992,10,0
512,1024,1,128,221.880288,3331.5721876442544,10,0
1024,512,1,1,3716.405408,1112.6329006907515,10,0
64,128,4,2,123.725696,1838.1193223608648,10,0
64,4,64,4,62.355456,560.2331665289654,10,0
4,128,2,16,647.760416,173.24271574170385,10,0
512,512,256,2,140.464,2114.652948109182,10,0
512,4,2,1,15.010368,323.56078208295804,10,0
512,4,8,1,6.377472,174.80582441761703,10,0
16,512,2,32,183.861216,2712.048542931506,10,0
4,64,4,4,647.706624,171.99083137441386,10,0
512,512,8,128,119.822336,1814.2542248648183,10,0
1024,1024,32,1,299.383584,4499.821434238607,10,0
8,512,2,4,496.71392,201.5556174704807,10,0
1,4,1,1,2481.149632,431.9488999438031,10,0
512,8,4,2,8.742336,223.75794924112543,10,0
16,1024,16,64,862.37856,260.2537435948489,10,0
16,16,16,8,200.871936,1589.8978956178266,10,0
256,512,16,16,122.489984,1832.182588312084,10,0
512,1024,2,4,998.073888,347.4303058130486,10,0
128,2,64,1,22.984608,277.1392319271015,10,0
4,1024,4,64,906.366464,250.46126500216727,10,0
1024,512,32,32,120.513792,1832.8715192582024,10,0
1024,64,8,32,14.57984,310.5454051045883,10,0
256,128,128,4,29.370208,532.4485571895194,10,0
32,256,2,1,944.914368,340.6627951563124,10,0
