tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,compute_time,energy,iterations,wait_after_run
256,64,16,64,56.954784,216.51315361169648,10,0
1024,512,16,64,112.0768,887.8411486199088,10,0
16,128,8,8,327.08096,867.3335531222399,10,0
128,2,16,1,31.483904,107.17036940377726,10,0
128,32,1,4,55.340032,341.9196832331257,10,0
64,16,4,8,62.754816,190.9682268220033,10,0
64,2,64,2,84.57104,216.5526961233272,10,0
512,1024,4,16,204.394496,1969.455531413628,10,0
128,2,64,2,42.349568,131.66857820124156,10,0
512,256,2,4,226.356224,1739.6319852316992,10,0
8,1,8,1,479.990784,1090.3540659503392,10,0
1,512,1,512,7316.34688,342.8391443746025,10,0
512,64,8,2,25.148416,237.44953087531144,10,0
128,1024,8,64,225.047552,1834.3716434889825,10,0
1024,512,4,16,98.387968,992.1243658349356,10,0
1024,1024,2,16,210.019328,2162.3146742065114,10,0
128,512,2,1,2050.197504,291.89064636992,10,0
8,8,2,2,474.691584,1190.1777980171726,10,0
1024,512,256,1,225.421408,1768.5310033753017,10,0
256,256,4,32,48.943104,467.0164198828964,10,0
128,256,4,32,58.13648,490.3576504656777,10,0
128,256,1,1,2069.28384,287.2476567576577,10,0
256,512,8,128,112.448512,909.5141893738876,10,0
128,2,32,2,42.14272,143.14106273841554,10,0
16,64,4,16,328.3456,878.9636418432043,10,0
4,64,2,16,898.381824,75.25088936188904,10,0
128,1024,4,64,195.405824,1742.44401807912,10,0
512,64,128,2,14.79168,157.94487498316477,10,0
1024,128,16,8,22.73792,256.87067946590366,10,0
2,1024,1,64,2019.324928,146.31698297002268,10,0
8,8,1,1,475.820032,1336.340964060662,10,0
64,32,8,8,82.09408,264.89045988648127,10,0
32,32,16,4,164.794368,446.422978962633,10,0
1024,1024,2,4,885.826752,168.45589696992064,10,0
64,64,2,1,201.316352,1273.9965156094806,10,0
32,8,8,4,125.933568,335.542364839347,10,0
128,512,16,4,95.432704,893.2112296626902,10,0
256,128,16,64,56.583168,324.5981621946325,10,0
512,128,16,4,23.891968,256.4703372037506,10,0
128,256,4,4,100.61104,822.9551800076424,10,0
8,4,1,1,473.655296,1220.4667397113726,10,0
16,16,2,2,252.40896,720.1500847251856,10,0
64,64,1,16,63.14496,321.95417524122325,10,0
256,1,8,1,15.764416,79.22020109390918,10,0
32,8,1,2,126.217056,424.3633112017049,10,0
16,1024,1,32,293.04832,2038.801471954586,10,0
32,32,16,8,165.750784,451.9470559265991,10,0
256,2,256,1,24.931328,101.42243150409875,10,0
256,512,8,1,530.864128,3898.4189399364345,10,0
2,1024,2,1,3536.233472,409.3736535201875,10,0
1024,1024,64,16,182.262784,1825.3828146132523,10,0
16,128,8,64,523.062272,1404.7729723285197,10,0
8,64,8,4,474.68336,1194.400247649699,10,0
2,16,2,16,1746.303904,108.48206541606434,10,0
16,8,1,4,251.63776,653.1353766591093,10,0
64,32,32,4,83.677184,267.232484566504,10,0
128,1,1,1,31.34464,129.61735266392995,10,0
1024,4,2,2,6.99392,78.56620049282,10,0
256,1024,16,64,224.294912,1797.2501999296687,10,0
256,32,256,1,22.775648,135.09323875128024,10,0
4,2,1,2,898.681856,71.37887194404531,10,0
512,64,1,2,222.147584,1584.7846892917485,10,0
1024,512,2,128,97.90464,890.563801533869,10,0
128,128,8,128,113.527808,445.82781456773296,10,0
8,16,2,16,476.077056,1133.994774387645,10,0
32,1024,1,16,402.301952,3108.131070487369,10,0
64,256,8,2,111.121408,834.7798248608278,10,0
128,256,8,32,60.12416,483.9084256113869,10,0
1024,128,32,4,22.714368,260.6107224807078,10,0
1024,256,8,1,257.241088,1984.0719467599483,10,0
256,4,16,4,20.965376,103.21666610984586,10,0
8,1024,8,4,481.281856,2343.269220532756,10,0
512,256,16,1,112.100544,1023.581970570592,10,0
512,4,64,4,12.268384,78.34179740711484,10,0
64,64,32,1,63.115104,277.6518052824097,10,0
1024,1024,1,16,415.137792,3879.569318739468,10,0
32,512,16,32,259.9168,1283.6524588020134,10,0
256,1024,4,128,223.885312,1806.2209913473032,10,0
256,4,1,2,17.925056,140.57510220664773,10,0
512,1024,256,4,205.175808,2212.0559192382734,10,0
16,1024,4,64,380.278976,2346.475969830766,10,0
1024,8,8,2,4.4544,77.06454356216948,10,0
32,64,2,32,164.119488,530.442866854597,10,0
32,256,4,256,453.525504,60.11908715522731,10,0
256,64,4,16,21.064672,175.71849009802958,10,0
1024,16,64,1,5.27856,76.08753357176212,10,0
128,512,4,32,97.799168,901.103193411958,10,0
256,32,4,32,20.726784,130.21475272665018,10,0
512,1024,1,128,195.579904,1769.5964374116772,10,0
1024,512,1,1,3242.334208,480.9732614396205,10,0
64,128,4,2,110.852096,723.493654681396,10,0
64,4,64,4,97.86368,284.9226341177086,10,0
4,128,2,16,898.128896,74.86265128779007,10,0
512,512,256,2,108.61376,1176.0331869024114,10,0
512,4,2,1,14.000128,126.66408047997363,10,0
512,4,8,1,7.87968,78.80303314494124,10,0
16,512,2,32,328.387584,1422.6856782420132,10,0
4,64,4,4,898.563072,75.92633891363248,10,0
512,512,8,128,112.173088,921.833064953006,10,0
1024,1024,32,1,553.7024,121.52041299252954,10,0
8,512,2,4,566.816768,88.77574349709516,10,0
1,4,1,1,3434.206208,185.2858783405426,10,0
512,8,4,2,8.859648,90.9977453991784,10,0
16,1024,16,64,905.899008,101.54418689829556,10,0
16,16,16,8,335.970304,828.8070477072935,10,0
256,512,16,16,97.85344,882.3191360017428,10,0
512,1024,2,4,937.417728,166.23191131435405,10,0
128,2,64,1,41.796608,137.31423391344876,10,0
4,1024,4,64,1296.95232,110.9419917642794,10,0
1024,512,32,32,112.065696,976.0258006027684,10,0
1024,64,8,32,14.040064,151.03762424281626,10,0
256,128,128,4,31.96928,277.76272339888646,10,0
32,256,2,1,954.431488,128.1147457045361,10,0
512,1024,16,1,536.885152,114.57355233645242,10,0
16,1024,2,32,337.473344,2155.979509921337,10,0
64,32,8,16,82.896896,270.5144088075878,10,0
128,16,32,8,48.5888,172.3511247706561,10,0
32,8,4,1,125.520896,390.8481033398509,10,0
128,512,8,2,238.562432,1683.1776033480105,10,0
1024,256,8,16,52.416448,483.180709012837,10,0
256,32,32,8,24.25344,135.71570157668998,10,0
128,128,1,32,35.666944,283.0148771365317,10,0
1024,64,32,8,14.01344,152.47895234004548,10,0
128,16,32,16,66.886656,215.32324774385765,10,0
1024,16,1,4,29.32224,213.4555460342852,10,0
16,512,2,8,287.82592,1768.4564195452165,10,0
64,1,32,1,63.145984,189.1398103713905,10,0
4,64,1,16,898.151424,76.79215544239312,10,0
8,512,2,512,1799.3728,123.65154605126835,10,0
4,512,2,32,1073.043456,99.41507881825,10,0
32,1,16,1,126.228512,332.7698830394477,10,0
256,1024,4,1,1962.386432,298.51078491064465,10,0
16,1024,4,1,1913.312128,232.93791241385688,10,0
128,1024,32,4,181.541888,1742.1860619885365,10,0
4,256,4,64,1300.038656,94.25230424292434,10,0
1024,4,32,1,3.955712,54.6255754550748,10,0
64,32,8,1,62.985216,300.865213731178,10,0
1024,2,4,2,4.001632,59.06180173772921,10,0
2,64,2,2,1741.597696,115.57502244401604,10,0
1024,16,64,8,8.235008,82.44064604266653,10,0
64,32,16,2,62.923776,232.33635656414137,10,0
32,128,8,2,126.1056,588.3875853209339,10,0
128,2,128,2,48.990208,155.97439863286763,10,0
512,1024,8,4,242.41664,2244.5632066285,10,0
8,8,1,4,474.58816,55.86013346463523,10,0
512,1024,4,4,468.161504,112.20322081603084,10,0
64,256,1,128,90.369024,552.9297565570951,10,0
128,128,16,4,42.040192,295.317644130879,10,0
64,1024,64,4,223.473664,1870.801024061832,10,0
16,512,8,8,328.382496,1439.8984031086354,10,0
4,1024,2,16,900.762464,99.2966271674751,10,0
16,1024,16,2,293.270528,2091.035106872333,10,0
256,256,32,32,56.443904,491.8509419315084,10,0
64,512,16,2,108.88704,959.1408143028718,10,0
2,8,1,1,1742.883808,117.82789898510268,10,0
8,64,8,64,1013.958656,79.14180557763888,10,0
16,512,1,4,805.681152,122.3635815674398,10,0
1024,512,8,128,98.192384,919.42377867599,10,0
4,4,1,2,898.7136,73.08552934122058,10,0
8,128,8,32,716.647424,68.21618911002703,10,0
64,512,1,512,129.912768,942.0836448476994,10,0
64,16,16,8,83.319808,267.09733536009674,10,0
1024,256,128,4,49.117184,505.6729354431218,10,0
128,1024,1,256,195.919872,1767.64620797056,10,0
256,1024,64,16,224.389152,1982.27902304486,10,0
32,1024,4,256,451.060736,78.92419028598142,10,0
8,256,2,8,477.548448,67.42392580697218,10,0
512,256,4,32,45.408416,481.6564743932928,10,0
128,512,4,128,112.352256,924.6810568020928,10,0
128,16,1,1,100.307968,677.8806128623893,10,0
256,32,16,8,20.747264,136.9786492446249,10,0
128,2,2,2,31.330304,138.08800779053752,10,0
128,512,32,4,97.707008,938.9288392833222,10,0
16,8,16,2,252.242976,661.765299390654,10,0
512,512,1,512,111.862688,929.5221903442356,10,0
256,32,2,16,15.749056,114.45493960904734,10,0
8,256,2,64,608.724992,66.73042269232587,10,0
32,1024,8,128,452.928544,77.61923223148095,10,0
128,32,32,4,41.86096,178.72673616086695,10,0
16,256,4,16,327.002112,1115.919828748256,10,0
128,32,1,8,35.212128,233.37357196908843,10,0
128,16,64,2,41.981024,155.69092703430417,10,0
64,128,64,4,96.46592,423.8407481758211,10,0
512,1024,16,64,224.189312,1811.119760739956,10,0
8,128,4,16,604.019776,64.60397072087773,10,0
16,512,1,8,444.998656,81.77322065692752,10,0
512,128,128,2,28.030912,271.42022504148383,10,0
64,32,32,32,228.802624,600.6988545839334,10,0
256,256,2,64,49.121408,458.5451960111783,10,0
32,256,8,8,164.137984,708.4862558804716,10,0
8,32,1,2,476.913856,60.46332294919215,10,0
512,512,32,1,152.973312,1366.0028117882066,10,0
512,1024,1,4,1851.291616,285.1971794226872,10,0
32,64,4,2,126.084096,539.5570506060221,10,0
32,64,4,8,125.577216,422.7871040065759,10,0
16,256,16,2,252.215488,937.1389000996164,10,0
