tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,compute_time,energy,iterations,wait_after_run
8,2,128,16,32,32,16,8,256,32,6.90288,107.40530037707376,10,0
64,4,8,512,128,64,4,1,256,1,412.51328,269.7637514546543,10,0
4,32,32,256,8,16,4,1,16,128,24.721408,305.8714793651354,10,0
4,16,16,64,16,256,16,8,256,8,35.70688,297.79346186963954,10,0
16,8,32,64,16,128,8,16,512,512,3.154176,113.37377062857972,10,0
64,2,16,8,512,1,4,8,1024,256,11.090016,209.1122111928751,10,0
8,32,64,8,128,16,2,8,8,8,310.347776,1621.302325428432,10,0
64,4,8,4,512,2,8,8,128,64,154.343008,158.0177532051355,10,0
4,8,64,32,16,4,64,2,64,8,221.061056,130.71622653283382,10,0
16,1,4,4,16,1,8,1,8,1024,68.092288,866.381751344452,10,0
32,4,256,512,32,2,64,1,1024,256,0.0,3018.944680060874,10,0
4,256,256,1024,32,8,8,4,512,8,108.958752,482.29855959564406,10,0
16,1,256,1024,16,16,4,4,64,512,34.190784,664.6221284923668,10,0
8,8,16,8,256,8,4,16,16,32,49.67008,575.7739635211522,10,0
8,2,256,256,16,4,64,16,64,256,131.447424,111.54331845951802,10,0
64,16,128,32,64,16,16,2,256,4,451.84288,1960.494899762294,10,0
4,1,32,1024,8,32,8,64,32,1024,7.747584,144.54874463638876,10,0
4,4,4,16,64,4,4,32,32,32,137.285632,87.48359022056152,10,0
128,1,64,64,128,1,128,4,256,4,2136.135008,727.0207688463192,10,0
64,2,64,4,64,8,8,4,128,128,66.637824,902.7332671415626,10,0
16,8,128,4,64,4,1,32,512,1024,5.247456,295.295650352811,10,0
4,2,8,1024,8,256,2,32,8,32,223.486048,79.22614763048001,10,0
16,4,16,4,32,2,4,2,16,4,233.010048,112.80354645451192,10,0
8,1,128,4,64,4,1,16,8,128,9.253088,402.1917101741432,10,0
32,1,128,1024,32,8,1,2,2,256,615.086784,1521.4588088657397,10,0
16,2,8,32,128,16,32,32,512,64,18.931584,215.4448142237272,10,0
4,8,128,128,4,64,8,8,128,128,5.854976,129.58177561477527,10,0
16,4,4,4,512,2,2,4,32,1024,219.576032,558.7504232335672,10,0
4,2,64,64,8,64,256,4,1024,8,126.50496,89.19420254325115,10,0
4,128,512,8,4,2,1,2,1024,512,329.474048,520.1043519932957,10,0
4,1,8,16,8,4,16,8,128,16,157.724672,78.45083591010443,10,0
