tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,compute_time,energy,iterations,wait_after_run
8,2,128,16,32,32,16,8,256,32,7.681024,82.15981844911475,10,0
64,4,8,512,128,64,4,1,256,1,533.610496,163.11129553518865,10,0
4,32,32,256,8,16,4,1,16,128,32.80384,150.63857241371042,10,0
4,16,16,64,16,256,16,8,256,8,105.802752,38.443130648207486,10,0
16,8,32,64,16,128,8,16,512,512,2.932736,55.17284067271468,10,0
64,2,16,8,512,1,4,8,1024,256,14.297088,96.73148551115162,10,0
8,32,64,8,128,16,2,8,8,8,1187.265504,1069.4875599426832,10,0
64,4,8,4,512,2,8,8,128,64,387.239936,94.03818254274528,10,0
4,8,64,32,16,4,64,2,64,8,308.079584,66.69488366687355,10,0
16,1,4,4,16,1,8,1,8,1024,105.407488,45.156731916646926,10,0
32,4,256,512,32,2,64,1,1024,256,0.0,2013.5022077002343,10,0
4,256,256,1024,32,8,8,4,512,8,133.202944,325.5455611881011,10,0
16,1,256,1024,16,16,4,4,64,512,65.521664,276.0820165457516,10,0
8,8,16,8,256,8,4,16,16,32,75.423744,144.58911775291543,10,0
8,2,256,256,16,4,64,16,64,256,187.977888,54.35703944451521,10,0
64,16,128,32,64,16,16,2,256,4,741.595104,1752.968480206909,10,0
4,1,32,1024,8,32,8,64,32,1024,11.367424,69.16110936607973,10,0
4,4,4,16,64,4,4,32,32,32,212.017152,44.09277087268593,10,0
128,1,64,64,128,1,128,4,256,4,3826.644832,521.7219275343294,10,0
64,2,64,4,64,8,8,4,128,128,68.84352,171.82981736105782,10,0
16,8,128,4,64,4,1,32,512,1024,4.486144,169.46330157983695,10,0
4,2,8,1024,8,256,2,32,8,32,419.298304,44.40668854769288,10,0
16,4,16,4,32,2,4,2,16,4,343.056384,63.08641861844634,10,0
8,1,128,4,64,4,1,16,8,128,9.765888,245.6127741018819,10,0
32,1,128,1024,32,8,1,2,2,256,749.953024,950.6342541175956,10,0
16,2,8,32,128,16,32,32,512,64,39.26528,135.46058291961225,10,0
4,8,128,128,4,64,8,8,128,128,4.072448,54.92050686884159,10,0
16,4,4,4,512,2,2,4,32,1024,178.450432,410.4862835558938,10,0
4,2,64,64,8,64,256,4,1024,8,174.998528,47.3573699471142,10,0
4,128,512,8,4,2,1,2,1024,512,264.711168,349.1899964134627,10,0
4,1,8,16,8,4,16,8,128,16,212.862976,36.566106102795466,10,0
64,8,16,64,256,16,4,32,16,1024,119.323744,151.64635481839207,10,0
8,32,64,512,16,128,8,4,8,512,91.151424,74.39863936036498,10,0
4,2,4,16,256,16,4,16,32,16,246.890496,70.24367915481078,10,0
128,4,16,4,256,8,64,1,512,64,282.088384,780.6355593242348,10,0
8,16,128,8,64,16,32,1,128,4,84.26496,256.3329700143233,10,0
4,2,64,16,16,8,32,32,512,256,45.201408,213.9311234536941,10,0
4,8,16,256,32,128,128,1,128,2,546.177024,55.12008630371975,10,0
4,8,32,4,4,64,128,1,256,256,345.370624,62.70517318255607,10,0
32,4,16,16,128,1,128,8,256,512,261.95152,60.895986629692885,10,0
16,32,32,16,16,128,1,8,256,32,303.941632,162.91678008989524,10,0
8,32,32,128,8,4,1,1,1,1024,305.655808,85.15127450791206,10,0
16,8,128,32,16,2,8,16,64,32,23.00928,96.88540383263413,10,0
8,8,8,8,16,1,2,8,128,8,167.890944,45.57355693558721,10,0
32,8,32,256,64,8,8,16,128,16,40.7808,168.33479149727674,10,0
16,8,32,32,32,32,1,8,16,8,50.973696,76.1948304936484,10,0
4,4,8,256,16,64,64,16,256,512,14.663744,79.1774471261633,10,0
8,128,256,256,8,16,4,1,8,2,4802.26096,1147.6924051267838,10,0
4,8,64,4,64,4,2,1,8,1024,150.081632,758.3423010714844,10,0
64,8,16,512,64,128,64,4,512,512,457.65632,120.1986796697599,10,0
8,128,256,4,16,1,8,8,1024,256,397.416288,464.92935699243793,10,0
4,8,64,256,64,32,2,4,128,64,5.315584,149.27494992533607,10,0
8,1,256,256,16,2,32,4,64,512,312.403936,185.8313964982651,10,0
4,1,32,4,4,4,32,32,256,1024,40.082432,203.9799812266994,10,0
32,4,16,32,128,8,16,8,128,32,17.983616,114.61312347625504,10,0
4,16,16,4,256,16,4,2,64,8,81.200192,373.1476200428952,10,0
64,32,32,8,64,4,64,1,1024,256,1103.725536,1644.8230152657716,10,0
8,2,512,4,8,4,2,256,128,256,2.44736,48.07133865545912,10,0
4,16,256,512,8,16,16,1,16,128,501.681312,262.83207817911943,10,0
8,4,256,64,8,32,4,1,128,128,61.460448,1287.8843021671669,10,0
8,1,8,64,64,64,32,1,32,512,14.502912,90.25462887419982,10,0
4,1024,1024,512,4,2,8,128,1024,512,0.0,2206.740589081903,10,0
64,1,16,64,128,4,1,64,8,128,84.868096,38.14450959771718,10,0
4,16,32,32,32,64,1,16,1024,128,10.719232,177.5825766859999,10,0
4,4,8,128,16,256,64,8,1024,32,19.178496,88.38504990717243,10,0
64,8,64,256,128,4,1,2,512,64,0.0,1841.4200775210363,10,0
16,4,16,8,32,2,8,8,16,512,24.404128,121.33270248906376,10,0
16,1,64,256,128,8,4,64,64,1024,2.12992,44.43065334404211,10,0
16,8,16,64,256,4,1,512,16,512,2684.119136,1172.2096237682238,10,0
4,1,64,512,16,32,32,2,512,8,56.899584,106.13331414878424,10,0
4,128,128,128,16,2,4,4,1024,512,294.845312,170.12332152065738,10,0
8,4,128,16,16,4,2,32,512,64,1.84832,42.20009967218498,10,0
16,2,256,64,16,2,2,8,2,64,325.162848,109.73371342206364,10,0
16,64,64,256,64,64,16,8,64,1024,257.155168,413.24111913598045,10,0
64,64,128,16,64,16,1,4,1024,1024,0.0,1827.8495211009324,10,0
4,8,8,64,8,8,4,32,64,64,107.34896,27.1313562315132,10,0
4,1,256,64,16,2,4,1,256,256,135.575552,311.13627998904803,10,0
32,64,64,4,32,64,4,256,256,512,808.374208,463.0905226991465,10,0
32,1,64,64,64,16,1,8,128,1024,14.623744,186.29032494251047,10,0
4,4,128,128,8,8,2,4,1024,32,2.90816,76.33697768097844,10,0
4,32,256,16,8,16,32,8,256,1024,31.173632,152.6900551311797,10,0
64,1,8,128,64,128,2,2,128,256,62.691328,58.59931935603056,10,0
8,16,128,256,8,4,4,1,512,8,80.200704,394.77417779391305,10,0
8,16,32,64,8,32,2,1,32,16,21.039104,149.78977426092482,10,0
64,8,32,32,128,2,4,2,512,8,443.37456,386.1047483560704,10,0
4,16,32,512,32,64,16,16,64,64,27.99616,101.37017878369466,10,0
256,4,8,16,256,2,1,4,256,4,5097.357312,626.6144130964088,10,0
8,4,16,16,8,128,1,128,8,1024,24.05888,95.5208266596951,10,0
32,2,16,32,32,128,32,16,32,128,78.248832,35.00237505779143,10,0
16,4,8,64,64,16,8,1,1024,16,20.997184,131.18232604742718,10,0
4,1,32,16,64,16,8,1,32,512,17.01376,228.43099571542604,10,0
32,1,16,8,512,1,1,2,256,16,0.0,1868.365078654509,10,0
8,1,8,32,32,128,256,2,1024,128,8.501248,66.1329263826958,10,0
32,1,4,16,32,32,2,4,1024,128,8.684544,71.5427774561932,10,0
16,2,32,8,32,4,1,64,1024,256,6.58432,72.38598172825513,10,0
32,16,64,4,128,2,512,1,512,1024,1046.980576,753.2884501295,10,0
16,2,128,128,16,1,32,1,1024,256,288.254976,1288.0510502552702,10,0
64,16,128,4,64,8,8,1,64,1024,0.0,2024.646178511881,10,0
4,1,1024,16,8,1,32,8,512,32,290.321376,149.95482878491393,10,0
8,2,32,128,256,8,4,2,64,16,97.013728,449.3180106842749,10,0
16,16,128,256,64,8,1,2,512,8,0.0,2090.853100799635,10,0
4,1,128,32,8,4,8,32,128,512,15.16544,89.272966999207,10,0
256,4,4,32,256,32,16,16,256,256,900.677632,230.25814188560705,10,0
4,2,16,512,16,32,64,1,256,32,24.41216,119.63118541112092,10,0
32,1,32,256,128,16,512,1,512,1024,72.035328,277.8956701030518,10,0
32,16,64,1024,32,32,2,2,16,4,755.842048,184.20503766884124,10,0
8,2,8,16,128,16,8,1,256,1024,21.425152,148.16989744584487,10,0
