chunk_size,unroll_factor,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,repeats,wait_between_repeats,wait_after_run,iterations,compute_time
16,1,64,6,2,0,1,"(4, 3, 1, 0, 2)",5,0.0,10.0,10,1002.7198465
512,16,1,6,2,0,1,"(1, 2, 3, 4, 0)",5,0.0,10.0,10,1011.5978195
256,8,8,17,2,1,1,"(4, 1, 2, 0, 3)",5,0.0,10.0,10,1020.099967
1024,64,64,5,1,0,1,"(2, 1, 4, 0, 3)",5,0.0,10.0,10,1007.4101455
256,64,16,13,1,0,1,"(1, 4, 0, 2, 3)",5,0.0,10.0,10,997.2555425
8,1,256,3,0,0,0,"(3, 4, 2, 1, 0)",5,0.0,10.0,10,1004.7356705
128,16,256,13,0,1,0,"(2, 0, 4, 3, 1)",5,0.0,10.0,10,1061.991021
256,2,1,3,0,0,0,"(2, 1, 3, 4, 0)",5,0.0,10.0,10,1064.41634
16,2,1,20,1,1,1,"(0, 2, 3, 1, 4)",5,0.0,10.0,10,125.4436915
128,8,1,10,2,1,1,"(1, 3, 2, 4, 0)",5,0.0,10.0,10,599.6530435
4,2,128,12,0,0,1,"(3, 0, 1, 4, 2)",5,0.0,10.0,10,950.368091
32,4,64,3,0,0,1,"(0, 3, 2, 1, 4)",5,0.0,10.0,10,973.5650995
128,1,64,15,2,0,1,"(3, 1, 4, 0, 2)",5,0.0,10.0,10,952.2262905
512,1,64,17,2,0,0,"(2, 1, 0, 4, 3)",5,0.0,10.0,10,1040.9825065
1024,4,16,5,1,0,0,"(0, 2, 1, 4, 3)",5,0.0,10.0,10,1079.3570359999999
1024,16,4,12,1,0,1,"(3, 4, 1, 2, 0)",5,0.0,10.0,10,997.032374
512,2,128,10,0,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,957.6287970000001
256,4,16,6,0,1,0,"(0, 3, 4, 1, 2)",5,0.0,10.0,10,1002.287716
128,64,256,13,2,1,1,"(3, 0, 1, 4, 2)",5,0.0,10.0,10,990.4977664999999
1024,16,16,8,0,1,1,"(1, 3, 4, 0, 2)",5,0.0,10.0,10,984.9763935000001
512,16,32,18,0,1,0,"(3, 4, 0, 1, 2)",5,0.0,10.0,10,949.904082
2,1,128,7,2,1,1,"(3, 2, 1, 4, 0)",5,0.0,10.0,10,976.3508065000001
64,2,16,8,1,1,1,"(3, 4, 2, 0, 1)",5,0.0,10.0,10,1017.1679555
1024,1,256,5,2,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,984.1554615
64,16,256,6,1,1,0,"(2, 3, 0, 4, 1)",5,0.0,10.0,10,1003.5835525
64,4,16,13,0,1,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,948.737888
32,16,64,4,1,1,1,"(3, 0, 2, 1, 4)",5,0.0,10.0,10,940.86272
256,64,1,4,0,0,1,"(2, 4, 3, 1, 0)",5,0.0,10.0,10,941.4732745
16,8,64,14,2,1,0,"(0, 4, 3, 1, 2)",5,0.0,10.0,10,1034.879298
64,16,256,12,2,1,0,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,1036.6481835
8,2,32,16,2,1,1,"(2, 1, 3, 4, 0)",5,0.0,10.0,10,973.507053
512,8,256,2,2,0,1,"(3, 1, 4, 2, 0)",5,0.0,10.0,10,989.7099559999999
256,8,16,17,0,0,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,943.8033485000001
64,1,256,15,1,0,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,1017.4736835
512,4,2,19,0,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,949.7830074999999
128,16,8,10,2,0,1,"(3, 2, 1, 0, 4)",5,0.0,10.0,10,1035.8684435
32,1,1,2,2,0,1,"(4, 1, 2, 3, 0)",5,0.0,10.0,10,950.32319
256,2,1,8,1,1,1,"(2, 0, 1, 4, 3)",5,0.0,10.0,10,993.861007
1024,8,256,10,2,1,1,"(3, 4, 1, 2, 0)",5,0.0,10.0,10,977.3735800000001
1024,32,128,6,2,1,1,"(4, 1, 0, 2, 3)",5,0.0,10.0,10,969.496727
8,2,128,6,2,0,1,"(3, 1, 2, 4, 0)",5,0.0,10.0,10,925.688652
32,1,16,17,0,1,0,"(4, 1, 3, 2, 0)",5,0.0,10.0,10,941.8919364999999
