chunk_size,unroll_factor,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,compute_time,iterations,repeats,wait_between_repeats,wait_after_run
64,4,1,6,1,1,0,"(4, 3, 2, 0, 1)",1317.0481545,10,5,0,10
64,16,1,48,1,0,0,"(2, 3, 4, 0, 1)",1327.224262,10,5,0,10
4,2,16,6,1,1,1,"(1, 3, 4, 0, 2)",1331.9160125,10,5,0,10
64,2,1,102,1,1,1,"(1, 3, 4, 0, 2)",1329.6517575,10,5,0,10
64,32,2,62,0,1,1,"(3, 0, 1, 4, 2)",2155.0433535,10,5,0,10
8,2,16,120,2,1,1,"(3, 4, 2, 1, 0)",2197.2632235,10,5,0,10
16,4,8,20,1,0,0,"(2, 4, 0, 1, 3)",2234.566783,10,5,0,10
64,32,2,48,1,1,1,"(3, 4, 2, 1, 0)",2259.005518,10,5,0,10
64,4,2,22,2,1,0,"(0, 1, 3, 4, 2)",2252.878358,10,5,0,10
8,4,16,22,2,1,1,"(3, 1, 2, 4, 0)",2263.696938,10,5,0,10
512,8,128,66,2,1,1,"(0, 3, 1, 4, 2)",3322.783958,10,5,0,10
256,16,256,62,0,0,0,"(1, 4, 0, 2, 3)",3309.495062,10,5,0,10
1024,2,1,96,1,0,0,"(4, 3, 2, 1, 0)",3343.6821605,10,5,0,10
256,32,1,68,2,1,1,"(0, 3, 2, 1, 4)",3336.878596,10,5,0,10
512,64,32,64,0,1,0,"(0, 4, 1, 3, 2)",3373.8391220000003,10,5,0,10
256,2,32,78,2,1,0,"(2, 0, 3, 1, 4)",3368.6901935,10,5,0,10
1024,2,32,106,2,1,1,"(3, 0, 1, 2, 4)",3328.7435835,10,5,0,10
32,8,32,92,0,0,0,"(4, 0, 2, 1, 3)",3373.0230125,10,5,0,10
1024,256,2,80,1,1,0,"(2, 1, 4, 0, 3)",3359.410559,10,5,0,10
128,4,4,94,0,0,0,"(4, 1, 0, 2, 3)",3367.671961,10,5,0,10
256,64,128,72,1,0,0,"(3, 1, 4, 0, 2)",3357.0607495,10,5,0,10
1024,4,16,88,2,0,1,"(3, 2, 0, 1, 4)",3379.9161785,10,5,0,10
512,4,8,106,1,1,0,"(1, 0, 3, 2, 4)",3370.1613025,10,5,0,10
512,2,32,62,2,1,0,"(1, 3, 2, 4, 0)",3370.9197830000003,10,5,0,10
1024,32,4,124,0,1,0,"(1, 3, 4, 2, 0)",3379.473494,10,5,0,10
1024,32,1,122,1,1,0,"(2, 3, 0, 1, 4)",3367.989818,10,5,0,10
32,8,32,124,1,0,0,"(3, 0, 4, 1, 2)",3373.6133505,10,5,0,10
256,2,2,78,2,1,1,"(3, 1, 4, 0, 2)",3393.2603815,10,5,0,10
256,64,16,124,1,1,0,"(0, 2, 3, 1, 4)",3379.2758405,10,5,0,10
1024,2,2,90,2,1,1,"(3, 4, 1, 2, 0)",3398.5339625,10,5,0,10
512,8,8,96,2,0,0,"(4, 0, 1, 3, 2)",3377.3849525,10,5,0,10
512,16,64,126,2,1,1,"(4, 3, 0, 2, 1)",3400.288634,10,5,0,10
1024,128,2,72,2,1,0,"(0, 1, 2, 4, 3)",3400.2025435,10,5,0,10
32,2,64,72,1,1,1,"(2, 1, 0, 3, 4)",3389.690114,10,5,0,10
512,4,2,126,0,1,1,"(3, 1, 4, 0, 2)",3381.029133,10,5,0,10
128,4,8,74,0,1,1,"(4, 3, 1, 0, 2)",3422.9253675,10,5,0,10
256,8,128,122,1,0,1,"(4, 0, 1, 2, 3)",3397.907257,10,5,0,10
128,8,2,66,1,1,0,"(3, 0, 1, 4, 2)",3373.2325525,10,5,0,10
1024,128,16,124,1,0,0,"(1, 4, 3, 2, 0)",3379.4265015,10,5,0,10
256,4,8,126,1,0,0,"(2, 4, 0, 3, 1)",3388.0552285,10,5,0,10
512,64,64,52,2,1,0,"(0, 3, 4, 2, 1)",3499.3662675,10,5,0,10
1024,64,8,128,2,1,0,"(3, 4, 1, 0, 2)",3409.985321,10,5,0,10
256,8,1,56,1,1,1,"(4, 3, 1, 0, 2)",3361.0228785,10,5,0,10
256,16,4,74,0,0,1,"(3, 0, 2, 1, 4)",3429.232904,10,5,0,10
1024,64,64,98,2,0,0,"(2, 1, 4, 3, 0)",3437.901261,10,5,0,10
512,8,8,52,1,1,0,"(4, 3, 1, 0, 2)",3533.375105,10,5,0,10
512,16,1,116,0,0,1,"(1, 2, 3, 4, 0)",3404.3825935,10,5,0,10
128,8,2,116,0,0,1,"(0, 2, 3, 1, 4)",3456.3326515,10,5,0,10
1024,128,2,52,0,1,1,"(4, 1, 2, 0, 3)",3549.215761,10,5,0,10
128,64,256,118,1,1,1,"(3, 0, 1, 4, 2)",3445.961939,10,5,0,10
1024,512,256,118,1,0,1,"(4, 0, 3, 1, 2)",3457.4648045000004,10,5,0,10
64,2,16,118,0,1,1,"(0, 3, 4, 2, 1)",3498.0146435,10,5,0,10
32,8,16,6,1,1,1,"(1, 2, 4, 3, 0)",3535.474929,10,5,0,10
8,2,128,4,0,1,0,"(2, 3, 1, 0, 4)",3533.644747,10,5,0,10
64,16,256,20,0,1,1,"(2, 3, 0, 4, 1)",3541.5714135,10,5,0,10
64,8,32,16,1,0,1,"(1, 2, 0, 4, 3)",3544.853637,10,5,0,10
128,8,8,18,1,0,0,"(0, 4, 2, 3, 1)",3540.040712,10,5,0,10
256,2,1,6,0,0,0,"(2, 1, 3, 4, 0)",3542.886218,10,5,0,10
64,16,256,20,1,1,0,"(2, 3, 0, 4, 1)",3548.0926735000003,10,5,0,10
32,4,8,20,1,0,0,"(0, 1, 2, 3, 4)",3544.4017225,10,5,0,10
8,4,256,24,2,0,1,"(0, 2, 1, 3, 4)",3557.655831,10,5,0,10
256,128,8,18,2,0,0,"(2, 0, 3, 4, 1)",3544.3488285000003,10,5,0,10
256,2,256,40,1,0,1,"(1, 0, 4, 2, 3)",3551.374105,10,5,0,10
4,2,128,46,2,0,1,"(4, 3, 2, 0, 1)",3539.3520535,10,5,0,10
128,32,256,14,2,0,1,"(4, 2, 0, 1, 3)",3558.0674345,10,5,0,10
1024,8,128,16,1,0,1,"(1, 0, 3, 2, 4)",3560.752049,10,5,0,10
128,8,2,44,1,0,1,"(1, 3, 0, 2, 4)",3559.094624,10,5,0,10
512,64,16,28,1,1,1,"(4, 1, 2, 3, 0)",3568.540682,10,5,0,10
256,16,1,30,2,1,1,"(4, 3, 0, 1, 2)",3567.3847945,10,5,0,10
