chunk_size,unroll_factor,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,compute_time,iterations,repeats,wait_between_repeats,wait_after_run
64,2,16,13,0,1,1,"(1, 0, 4, 3, 2)",34.402182499999995,10,5,0,10
32,1,64,17,0,0,0,"(0, 1, 4, 3, 2)",46.4818795,10,5,0,10
4,1,128,12,0,0,1,"(3, 0, 1, 4, 2)",51.7387395,10,5,0,10
32,16,2,7,2,0,1,"(1, 0, 4, 2, 3)",55.9291495,10,5,0,10
128,64,8,15,2,0,0,"(0, 1, 3, 2, 4)",60.1951265,10,5,0,10
64,32,64,11,1,1,1,"(0, 1, 4, 2, 3)",51.813351,10,5,0,10
128,4,16,9,0,0,0,"(1, 0, 3, 2, 4)",59.643677,10,5,0,10
4,1,128,19,1,0,0,"(1, 3, 0, 2, 4)",66.8060155,10,5,0,10
4,1,8,6,0,0,0,"(3, 0, 1, 2, 4)",63.861779,10,5,0,10
128,16,32,10,0,0,0,"(0, 1, 4, 3, 2)",110.9520485,10,5,0,10
32,16,128,5,1,1,0,"(0, 1, 3, 2, 4)",112.481247,10,5,0,10
16,4,1,4,0,1,1,"(1, 0, 2, 3, 4)",119.344782,10,5,0,10
256,1,128,4,2,1,0,"(1, 0, 2, 3, 4)",193.896563,10,5,0,10
128,1,2,17,2,0,1,"(0, 1, 2, 4, 3)",23.776225,10,5,0,10
4,2,256,18,1,0,1,"(1, 0, 3, 4, 2)",38.9415605,10,5,0,10
128,4,2,15,0,1,1,"(0, 1, 3, 2, 4)",29.4540725,10,5,0,10
256,64,256,9,1,1,1,"(0, 1, 3, 4, 2)",386.4133755,10,5,0,10
128,64,256,16,1,0,0,"(0, 1, 2, 3, 4)",383.906679,10,5,0,10
64,8,2,10,0,1,1,"(0, 1, 4, 2, 3)",37.538988,10,5,0,10
8,2,1,16,0,0,1,"(1, 0, 2, 4, 3)",26.5504265,10,5,0,10
8,4,256,16,1,1,0,"(0, 1, 3, 2, 4)",43.6069545,10,5,0,10
128,1,256,20,2,1,0,"(0, 1, 2, 4, 3)",83.483062,10,5,0,10
16,4,4,14,0,1,1,"(1, 0, 3, 2, 4)",32.050535,10,5,0,10
32,8,8,14,2,1,1,"(0, 1, 4, 2, 3)",29.7270855,10,5,0,10
256,4,16,12,0,0,1,"(3, 0, 1, 4, 2)",88.749634,10,5,0,10
64,1,2,4,2,1,0,"(1, 0, 2, 4, 3)",78.760076,10,5,0,10
