chunk_size,unroll_factor,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,repeats,wait_between_repeats,wait_after_run,iterations,compute_time
64,8,2,10,0,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,20.80949
128,1,256,20,2,1,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,62.179033000000004
128,16,32,10,0,0,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,84.950098
128,8,16,4,0,0,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,98.7301675
64,4,256,12,2,1,0,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,102.355283
256,1,128,4,2,1,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,143.666112
128,64,256,16,1,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,273.46468649999997
4,1,128,12,0,0,1,"(3, 0, 1, 4, 2)",5,0.0,10.0,10,29.258271999999998
64,32,1,16,1,1,1,"(3, 1, 0, 4, 2)",5,0.0,10.0,10,404.3845865
64,1,2,4,2,1,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,87.977011
16,4,1,4,0,1,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,77.9484665
128,32,1,6,0,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,41.9235235
128,8,32,6,0,0,1,"(0, 3, 1, 4, 2)",5,0.0,10.0,10,60.4250115
128,32,4,6,0,1,0,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,232.928978
8,4,256,16,1,1,0,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,29.765721
4,2,256,18,1,0,1,"(1, 0, 3, 4, 2)",5,0.0,10.0,10,30.43595
8,2,1,16,0,0,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,16.303796
256,4,16,12,0,0,1,"(3, 0, 1, 4, 2)",5,0.0,10.0,10,126.36678900000001
4,1,8,6,0,0,0,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,71.939099
16,4,4,14,0,1,1,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,23.049854
256,32,16,10,2,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,33.0164265
32,8,32,6,2,0,0,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,60.791374
8,1,2,20,2,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,15.910922
64,2,1,14,2,1,0,"(0, 3, 1, 4, 2)",5,0.0,10.0,10,18.361993
64,8,256,14,2,0,1,"(3, 0, 1, 4, 2)",5,0.0,10.0,10,545.1725035
256,1,8,18,1,0,0,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,31.3701735
256,8,64,16,1,1,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,151.8697095
128,8,2,2,1,1,1,"(3, 1, 0, 4, 2)",5,0.0,10.0,10,434.9633865
256,16,16,16,0,1,1,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,882.7000505
8,4,16,4,2,1,0,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,148.783543
2,1,1,18,1,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,20.359109
32,8,8,14,2,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,25.0194065
4,2,64,18,0,1,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,15.768950499999999
64,16,16,8,1,1,1,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,51.4643605
128,4,256,2,1,1,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,170.167234
256,8,1,4,0,0,1,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,64.4584945
256,32,32,20,0,1,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,75.754827
256,1,4,18,2,0,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,20.628777999999997
64,8,16,14,0,0,1,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,24.9667165
128,4,4,12,1,0,1,"(0, 1, 3, 4, 2)",5,0.0,10.0,10,25.1757325
2,1,32,4,2,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,54.452792
32,4,8,4,1,1,1,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,183.198851
128,64,4,14,1,1,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,34.808317
64,1,16,8,1,1,1,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,262.6908455
128,4,256,2,0,0,1,"(1, 0, 3, 4, 2)",5,0.0,10.0,10,199.362886
2,1,64,4,0,0,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,50.21999649999999
128,64,32,20,0,0,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,145.78343999999998
32,16,128,4,0,1,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,63.2647295
4,2,1,6,2,1,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,45.65992
64,4,256,10,1,1,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,169.0249225
256,4,2,16,2,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,20.735008
256,4,4,4,2,1,1,"(1, 0, 3, 4, 2)",5,0.0,10.0,10,82.6867405
64,16,1,4,0,0,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,94.19683649999999
256,1,256,2,0,0,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,110.1734245
64,2,16,14,2,1,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,21.4746515
128,4,32,4,1,1,0,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,364.8866385
8,2,64,20,2,0,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,18.879756
128,8,1,10,0,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,20.3522425
64,4,1,12,1,1,1,"(1, 0, 3, 4, 2)",5,0.0,10.0,10,26.237880500000003
32,8,64,4,0,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,58.132328
32,8,64,8,2,0,0,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,210.7280825
32,16,32,4,2,0,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,49.1250665
32,2,2,20,0,0,1,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,18.4672415
128,8,128,2,2,0,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,115.67496700000001
32,1,2,6,2,0,0,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,41.7425035
256,4,4,4,2,1,0,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,423.806954
256,32,4,14,2,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,25.168262
128,64,128,6,1,1,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,110.6741305
16,8,16,4,2,1,0,"(0, 3, 1, 4, 2)",5,0.0,10.0,10,68.646721
128,4,32,4,0,1,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,67.24388450000001
256,4,256,6,1,1,1,"(1, 3, 0, 4, 2)",5,0.0,10.0,10,1091.690667
128,2,128,14,1,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,60.030062
256,8,8,16,0,1,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,49.744052499999995
128,4,4,6,2,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,47.803952499999994
32,4,256,10,0,1,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,97.5171055
128,16,128,4,1,1,0,"(1, 0, 3, 4, 2)",5,0.0,10.0,10,217.21356400000002
64,2,256,2,1,0,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,218.4130225
8,2,32,8,0,1,0,"(3, 1, 0, 4, 2)",5,0.0,10.0,10,52.813766
4,2,2,10,1,0,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,29.946413
32,16,64,16,1,1,0,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,41.850319999999996
16,2,2,6,0,0,0,"(3, 0, 1, 4, 2)",5,0.0,10.0,10,57.491881
8,2,2,20,0,0,1,"(1, 3, 0, 4, 2)",5,0.0,10.0,10,57.556943000000004
16,4,256,4,0,1,1,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,74.284481
16,4,2,10,1,0,1,"(1, 0, 3, 4, 2)",5,0.0,10.0,10,32.17698
256,32,2,18,0,0,1,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,40.254238
64,8,64,4,1,1,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,67.12576100000001
32,4,1,2,2,0,0,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,130.64944500000001
64,32,2,10,0,0,0,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,47.966378
256,16,32,18,2,0,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,45.9978945
32,2,128,16,1,1,0,"(3, 0, 1, 4, 2)",5,0.0,10.0,10,230.3057915
64,2,8,10,0,0,1,"(3, 0, 1, 4, 2)",5,0.0,10.0,10,49.878688999999994
256,1,2,12,2,1,1,"(1, 0, 3, 4, 2)",5,0.0,10.0,10,35.416786
256,64,16,4,2,0,0,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,125.90636549999999
16,4,256,16,1,0,0,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,260.2777715
256,2,1,18,2,1,0,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,17.0224975
64,4,8,2,0,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,180.20475199999998
256,64,64,12,0,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,309.49419
256,64,32,10,2,0,1,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,1101.2547295
64,2,32,20,0,1,0,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,528.236984
256,1,64,10,0,1,1,"(1, 0, 3, 4, 2)",5,0.0,10.0,10,146.4536775
8,4,16,4,0,1,1,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,96.54147449999999
256,4,64,18,1,0,0,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,102.41885199999999
256,32,16,10,0,0,0,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,528.809368
128,32,1,12,0,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,32.0044735
256,4,128,14,0,1,0,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,246.89938
64,2,256,10,0,0,0,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,251.0509925
64,1,32,14,0,0,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,29.5691725
4,2,64,16,1,1,0,"(3, 1, 0, 4, 2)",5,0.0,10.0,10,73.34174200000001
128,8,4,20,0,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,14.923262999999999
4,1,1,2,0,1,0,"(1, 3, 0, 4, 2)",5,0.0,10.0,10,249.742974
256,8,256,12,2,1,0,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,138.4132325
256,4,64,6,1,1,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,140.97108450000002
64,1,32,12,1,1,0,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,28.187284499999997
8,1,32,12,0,0,0,"(3, 1, 0, 4, 2)",5,0.0,10.0,10,36.477127499999995
32,16,2,20,2,1,1,"(3, 0, 1, 4, 2)",5,0.0,10.0,10,60.176264
128,1,16,20,1,1,0,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,25.6139725
64,8,128,2,0,1,1,"(0, 3, 1, 4, 2)",5,0.0,10.0,10,249.5730285
64,1,4,20,0,0,1,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,17.650364500000002
32,1,64,10,0,0,0,"(0, 3, 1, 4, 2)",5,0.0,10.0,10,33.129116499999995
16,4,8,14,2,0,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,15.233938
4,2,2,16,2,0,0,"(3, 1, 0, 4, 2)",5,0.0,10.0,10,72.977821
256,64,32,16,0,1,0,"(3, 0, 1, 4, 2)",5,0.0,10.0,10,313.0053465
16,1,64,18,2,0,0,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,25.650255
64,1,16,18,1,1,0,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,20.287246
256,2,128,20,0,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,102.206995
256,4,16,16,1,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,59.3364885
64,4,8,18,0,1,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,14.7333995
128,64,4,16,2,0,0,"(1, 3, 0, 4, 2)",5,0.0,10.0,10,685.620811
8,2,2,18,0,0,0,"(3, 1, 0, 4, 2)",5,0.0,10.0,10,82.15537850000001
8,4,8,2,2,1,1,"(3, 1, 0, 4, 2)",5,0.0,10.0,10,442.60398050000003
128,1,64,16,1,1,1,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,264.275356
128,4,128,16,0,0,0,"(3, 1, 0, 4, 2)",5,0.0,10.0,10,536.2567065
64,32,2,8,0,0,0,"(3, 1, 0, 4, 2)",5,0.0,10.0,10,143.1879355
4,1,8,2,0,0,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,125.409027
128,8,32,6,1,1,1,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,66.4450405
128,2,16,8,0,1,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,30.5377085
128,4,128,20,1,0,0,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,82.45659950000001
128,2,1,8,2,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,38.893429499999996
256,32,16,18,1,0,0,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,72.33804
256,8,2,12,1,0,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,38.0209965
256,16,2,16,2,0,0,"(3, 0, 1, 4, 2)",5,0.0,10.0,10,87.82262349999999
256,64,16,10,0,1,0,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,104.8297585
128,16,256,20,2,0,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,186.6088355
256,32,32,10,2,1,0,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,793.6229794999999
32,4,8,6,0,0,0,"(0, 1, 3, 4, 2)",5,0.0,10.0,10,44.276964
256,64,256,16,2,0,1,"(1, 0, 3, 4, 2)",5,0.0,10.0,10,349.2203505
32,16,256,16,2,0,1,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,481.1229595
128,4,4,16,1,0,0,"(0, 3, 1, 4, 2)",5,0.0,10.0,10,18.354802499999998
2,1,32,2,0,1,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,125.2311855
16,8,8,14,0,1,1,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,22.9988225
32,1,32,20,1,1,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,17.733098
128,1,32,10,1,0,1,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,521.7046479999999
256,1,64,16,1,1,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,145.59041200000001
256,16,1,8,0,1,0,"(0, 3, 1, 4, 2)",5,0.0,10.0,10,36.980691500000006
64,32,2,10,0,0,1,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,36.3336135
128,2,64,2,0,1,0,"(3, 1, 0, 4, 2)",5,0.0,10.0,10,270.97937149999996
128,64,1,2,0,0,0,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,213.328077
128,32,4,6,1,1,0,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,144.844335
16,1,16,10,2,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,26.0874865
256,1,128,12,2,0,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,57.4358955
128,4,32,16,0,1,0,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,40.28827
16,2,4,12,2,1,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,17.070339
8,4,2,8,0,0,0,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,55.280947999999995
128,4,1,4,1,0,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,77.44145599999999
256,16,128,12,0,0,1,"(1, 0, 3, 4, 2)",5,0.0,10.0,10,185.2095865
64,4,2,14,2,1,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,20.1238625
2,1,64,2,0,0,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,186.325515
256,4,64,4,2,0,0,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,629.5140225
8,2,64,16,0,1,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,22.0983485
32,2,16,2,0,1,0,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,211.88025199999998
64,32,4,6,0,0,1,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,59.6350855
32,8,128,4,2,1,1,"(1, 0, 3, 4, 2)",5,0.0,10.0,10,107.1428245
32,4,32,20,0,1,1,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,22.967287
128,4,8,10,2,1,1,"(3, 1, 0, 4, 2)",5,0.0,10.0,10,441.426963
16,4,16,16,0,0,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,18.548383
32,4,2,18,1,0,0,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,51.2955055
64,4,128,2,1,1,0,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,253.47331350000002
32,4,4,10,1,1,1,"(1, 0, 3, 4, 2)",5,0.0,10.0,10,34.7653595
256,64,32,4,2,0,0,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,671.682528
32,16,64,10,0,0,0,"(1, 3, 0, 2, 4)",5,0.0,10.0,10,101.987134
128,2,4,10,2,0,0,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,316.342992
128,8,64,16,1,1,1,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,321.12602000000004
128,4,2,10,0,0,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,30.0514365
