chunk_size,unroll_factor,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,omp_proc_bind,permutation,hostname,compute_time,compute_times,Timestamps,Feasibility,energy
16,2,8,16,2,0,1,0,"(1, 0, 2, 3, 4)",hpclab19.idi.ntnu.no,128.68176499999998,"[144.774896, 128.51914, 128.74636, 128.3948, 128.68464, 128.92883, 128.6167, 128.78474, 128.52707, 128.4992]",1702590628258.0,1.0,4.600587499999529
64,1,32,8,2,0,1,0,"(0, 4, 1, 3, 2)",hpclab19.idi.ntnu.no,117.4900755,"[130.824012, 117.350375, 117.658905, 119.854127, 117.493725, 117.889775, 117.408416, 117.489995, 117.411325, 117.482515]",1702590634957.0,1.0,4.78141770000002
64,1,16,16,2,1,0,0,"(0, 4, 1, 3, 2)",hpclab19.idi.ntnu.no,109.5039225,"[125.404717, 109.581262, 108.581373, 108.136271, 109.426583, 110.727643, 108.007073, 109.777112, 109.303352, 110.840174]",1702590641241.0,1.0,4.740332599999237
16,2,32,4,0,1,1,0,"(1, 0, 3, 4, 2)",hpclab19.idi.ntnu.no,253.2401885,"[274.986927, 253.231358, 253.300588, 253.321027, 253.360689, 253.281269, 253.274277, 253.389819, 253.434129, 253.292007]",1702590654765.0,1.0,8.117922600000748
8,4,16,8,2,0,1,0,"(0, 4, 1, 3, 2)",hpclab19.idi.ntnu.no,94.629327,"[107.787501, 94.630297, 94.765547, 94.904186, 94.643255, 95.188728, 94.801168, 94.602166, 94.577887, 94.733278]",1702590660382.0,1.0,4.294861500000115
8,4,1,8,1,1,0,0,"(1, 4, 0, 3, 2)",hpclab19.idi.ntnu.no,213.107638,"[226.467159, 215.149104, 213.364823, 212.826023, 213.568804, 213.061313, 213.153963, 212.909353, 212.875492, 212.777362]",1702590671894.0,1.0,7.924185899998702
16,1,64,8,0,0,1,0,"(0, 1, 4, 3, 2)",hpclab19.idi.ntnu.no,121.906891,"[134.965297, 121.871091, 121.896961, 121.948521, 121.941221, 121.916821, 121.868941, 122.006822, 121.671121, 121.575091]",1702590678800.0,1.0,4.876951099999133
16,8,1,16,0,1,1,0,"(0, 4, 1, 3, 2)",hpclab19.idi.ntnu.no,101.883505,"[116.317989, 101.915884, 101.605225, 101.929974, 101.618165, 101.851684, 102.045514, 101.915326, 101.743974, 101.624184]",1702590684763.0,1.0,4.956639099999302
8,2,1,6,2,1,1,0,"(4, 0, 1, 3, 2)",hpclab19.idi.ntnu.no,131.763645,"[146.78664, 131.802403, 131.788675, 131.735405, 131.724163, 131.787675, 131.739615, 131.866893, 131.551715, 131.718313]",1702590692212.0,1.0,5.226623200000001
32,4,1,10,2,0,1,0,"(1, 4, 0, 3, 2)",hpclab19.idi.ntnu.no,209.4342005,"[218.749104, 208.508921, 210.687021, 208.101061, 208.786371, 209.932111, 209.64036, 209.24765, 209.92412, 208.553539]",1702590703525.0,1.0,7.7884219000000146
2,1,16,12,2,1,1,0,"(0, 4, 1, 3, 2)",hpclab61.idi.ntnu.no,108.8661785,"[122.645839, 108.419959, 108.387998, 108.906329, 108.288937, 110.201151, 109.083248, 109.588969, 108.111898, 108.826028]",1702590627060.0,1.0,4.855019400000311
8,2,8,8,0,1,1,0,"(1, 0, 2, 3, 4)",hpclab61.idi.ntnu.no,105.0490455,"[118.164845, 104.742605, 104.893056, 104.806656, 104.541924, 104.736614, 104.700645, 104.503416, 104.629195, 104.558905]",1702590633303.0,1.0,4.00239279999987
