chunk_size,unroll_factor,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,repeats,wait_between_repeats,wait_after_run,iterations,compute_time
2,2,4,10,0,0,1,"(0, 4, 1, 3, 2)",5,0.0,10.0,10,63.474838500000004
16,16,64,16,1,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,52.4916275
2,16,64,16,0,0,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,66.16414750000001
4,4,64,12,0,1,1,"(4, 0, 1, 3, 2)",5,0.0,10.0,10,75.6921325
32,2,32,6,1,1,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,99.4589365
16,16,4,10,0,0,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,107.28822550000001
32,8,16,16,0,1,0,"(4, 1, 0, 3, 2)",5,0.0,10.0,10,136.3101875
2,4,2,4,2,1,1,"(4, 1, 0, 3, 2)",5,0.0,10.0,10,212.7273385
16,1,4,12,2,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,40.025433
64,2,8,18,0,1,1,"(1, 0, 3, 4, 2)",5,0.0,10.0,10,79.78199000000001
4,16,16,16,0,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,79.1744405
32,16,1,12,0,1,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,114.8484005
4,2,4,10,0,0,0,"(1, 0, 3, 4, 2)",5,0.0,10.0,10,74.33254249999999
64,4,1,6,2,0,0,"(1, 4, 0, 3, 2)",5,0.0,10.0,10,157.2653
32,16,64,8,1,1,0,"(0, 4, 1, 3, 2)",5,0.0,10.0,10,198.73001449999998
16,8,4,4,0,0,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,227.97353900000002
16,1,16,8,0,1,0,"(1, 0, 3, 4, 2)",5,0.0,10.0,10,85.93888949999999
32,1,32,14,0,0,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,76.8590585
2,2,4,20,1,0,1,"(4, 1, 0, 3, 2)",5,0.0,10.0,10,52.8585875
4,1,8,2,1,1,0,"(0, 1, 3, 4, 2)",5,0.0,10.0,10,242.0996025
64,1,8,8,1,0,1,"(1, 4, 0, 3, 2)",5,0.0,10.0,10,110.2439755
32,1,8,10,0,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,88.033613
64,1,8,4,1,0,0,"(4, 1, 0, 3, 2)",5,0.0,10.0,10,205.74211300000002
8,4,2,4,2,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,153.2430205
2,4,64,16,2,1,1,"(0, 4, 1, 3, 2)",5,0.0,10.0,10,45.979239500000006
2,16,8,12,0,0,1,"(1, 4, 0, 3, 2)",5,0.0,10.0,10,202.40491600000001
64,1,32,18,0,0,1,"(4, 1, 0, 3, 2)",5,0.0,10.0,10,66.7539335
4,1,32,4,1,0,1,"(0, 1, 3, 4, 2)",5,0.0,10.0,10,125.3296315
2,1,4,10,2,1,1,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,51.669131
32,1,8,4,2,1,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,163.011021
64,16,16,14,2,0,1,"(1, 4, 0, 3, 2)",5,0.0,10.0,10,175.39696500000002
2,16,64,14,2,1,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,75.0850145
32,4,4,2,1,0,0,"(1, 0, 3, 4, 2)",5,0.0,10.0,10,464.71089900000004
8,4,32,6,1,0,1,"(4, 0, 1, 3, 2)",5,0.0,10.0,10,120.93877
2,16,16,14,0,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,88.9337745
2,2,4,20,1,1,1,"(4, 0, 1, 3, 2)",5,0.0,10.0,10,43.363278
