chunk_size,unroll_factor,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,compute_time,iterations,repeats,wait_between_repeats,wait_after_run
16,1,2,8,2,0,0,"(0, 1, 2, 3, 4)",54.762154,10,5,0,10
4,4,2,20,2,1,1,"(0, 1, 3, 2, 4)",61.0243125,10,5,0,10
8,8,4,18,2,0,0,"(0, 1, 3, 2, 4)",57.044707,10,5,0,10
8,2,2,20,1,0,0,"(0, 1, 2, 3, 4)",92.610943,10,5,0,10
8,16,1,116,2,1,0,"(0, 1, 3, 4, 2)",91.1417955,10,5,0,10
4,16,16,122,2,1,0,"(0, 4, 1, 3, 2)",94.761946,10,5,0,10
2,2,64,32,1,1,0,"(1, 0, 3, 4, 2)",116.846192,10,5,0,10
2,4,8,22,0,0,1,"(0, 1, 3, 2, 4)",126.7120405,10,5,0,10
4,2,8,76,0,0,0,"(0, 1, 4, 3, 2)",113.6228645,10,5,0,10
2,2,8,38,1,1,1,"(0, 1, 4, 3, 2)",128.14749799999998,10,5,0,10
2,8,64,30,0,1,1,"(0, 1, 3, 2, 4)",114.3885105,10,5,0,10
4,4,1,94,1,1,0,"(0, 1, 3, 4, 2)",127.308993,10,5,0,10
2,2,16,44,2,0,1,"(4, 1, 0, 3, 2)",133.7155415,10,5,0,10
16,8,2,66,1,0,1,"(0, 1, 4, 3, 2)",139.6913245,10,5,0,10
2,2,16,78,2,0,0,"(4, 1, 0, 3, 2)",153.4544755,10,5,0,10
16,4,64,56,0,1,0,"(4, 0, 1, 3, 2)",168.269232,10,5,0,10
2,2,16,62,0,1,0,"(1, 4, 0, 3, 2)",170.1370245,10,5,0,10
64,2,16,124,0,0,0,"(1, 0, 3, 4, 2)",197.372088,10,5,0,10
4,1,1,34,1,0,0,"(4, 1, 0, 3, 2)",214.0697505,10,5,0,10
64,1,2,28,1,0,1,"(4, 1, 0, 3, 2)",256.3390015,10,5,0,10
4,4,16,74,1,0,1,"(4, 1, 0, 3, 2)",264.758888,10,5,0,10
8,2,1,54,2,0,0,"(4, 1, 0, 3, 2)",281.8172445,10,5,0,10
8,16,4,74,0,0,0,"(1, 0, 2, 3, 4)",278.1778755,10,5,0,10
32,4,64,38,1,0,0,"(1, 0, 2, 3, 4)",287.934139,10,5,0,10
32,1,4,40,1,1,1,"(1, 0, 3, 2, 4)",304.257361,10,5,0,10
64,1,64,116,2,0,0,"(1, 0, 3, 4, 2)",282.971966,10,5,0,10
32,16,4,112,1,1,1,"(4, 0, 1, 3, 2)",270.9560045,10,5,0,10
64,16,8,66,2,0,1,"(1, 0, 4, 3, 2)",323.594316,10,5,0,10
64,4,1,72,1,1,1,"(1, 0, 3, 2, 4)",351.3524625,10,5,0,10
2,1,64,16,2,1,1,"(1, 4, 0, 3, 2)",98.822417,10,5,0,10
32,4,4,24,0,1,1,"(0, 1, 4, 3, 2)",99.1522005,10,5,0,10
16,2,4,114,0,1,0,"(0, 1, 2, 3, 4)",109.690634,10,5,0,10
32,8,4,62,2,0,1,"(0, 1, 3, 4, 2)",120.302251,10,5,0,10
8,16,16,18,0,0,0,"(0, 1, 2, 3, 4)",120.0518985,10,5,0,10
64,4,64,52,2,0,0,"(0, 1, 3, 2, 4)",128.8048725,10,5,0,10
4,2,32,50,2,0,1,"(4, 0, 1, 3, 2)",131.31779949999998,10,5,0,10
64,4,4,6,2,1,1,"(0, 1, 4, 3, 2)",107.2252215,10,5,0,10
16,16,8,112,0,0,1,"(0, 1, 4, 3, 2)",96.1633155,10,5,0,10
2,1,32,20,1,0,0,"(1, 4, 0, 3, 2)",177.034529,10,5,0,10
4,2,8,22,0,0,0,"(0, 4, 1, 3, 2)",137.6573565,10,5,0,10
8,4,1,62,0,0,0,"(1, 0, 3, 2, 4)",274.97769900000003,10,5,0,10
2,8,1,14,2,1,1,"(0, 1, 3, 4, 2)",99.1315515,10,5,0,10
2,16,32,26,0,1,1,"(1, 0, 4, 3, 2)",271.678091,10,5,0,10
4,2,64,108,0,0,0,"(1, 0, 3, 2, 4)",282.973988,10,5,0,10
4,1,32,36,2,0,0,"(0, 1, 3, 2, 4)",105.8019655,10,5,0,10
2,16,64,74,1,1,0,"(1, 0, 2, 3, 4)",181.628278,10,5,0,10
32,16,2,122,0,0,1,"(1, 0, 3, 4, 2)",215.593586,10,5,0,10
2,1,2,52,0,1,0,"(1, 0, 4, 3, 2)",302.072938,10,5,0,10
4,16,32,68,0,0,0,"(1, 0, 3, 2, 4)",350.311474,10,5,0,10
8,16,16,86,1,1,1,"(1, 0, 3, 2, 4)",256.51016000000004,10,5,0,10
4,4,2,86,2,1,1,"(1, 4, 0, 3, 2)",270.641399,10,5,0,10
8,1,1,8,0,1,1,"(4, 1, 0, 3, 2)",362.787651,10,5,0,10
64,2,1,74,2,0,1,"(0, 1, 3, 2, 4)",98.0703635,10,5,0,10
4,4,32,4,2,1,1,"(4, 1, 0, 3, 2)",343.214301,10,5,0,10
64,8,16,52,0,0,0,"(0, 1, 3, 2, 4)",90.2906065,10,5,0,10
64,4,32,26,1,0,1,"(0, 1, 2, 3, 4)",71.388706,10,5,0,10
32,16,2,28,2,1,0,"(0, 1, 3, 4, 2)",90.565663,10,5,0,10
8,16,64,72,1,1,1,"(0, 1, 3, 4, 2)",108.823841,10,5,0,10
8,1,1,58,2,1,1,"(0, 4, 1, 3, 2)",139.7961215,10,5,0,10
8,16,2,4,0,1,1,"(4, 0, 1, 3, 2)",540.0765295,10,5,0,10
32,4,1,60,0,0,1,"(0, 1, 3, 2, 4)",218.0510615,10,5,0,10
32,2,64,14,0,1,0,"(1, 4, 0, 3, 2)",276.846882,10,5,0,10
2,8,64,112,0,1,0,"(1, 0, 2, 3, 4)",181.5047425,10,5,0,10
2,1,8,50,1,0,1,"(4, 0, 1, 3, 2)",129.496875,10,5,0,10
32,16,2,118,0,0,1,"(1, 0, 2, 3, 4)",288.1697075,10,5,0,10
8,2,4,72,1,0,1,"(4, 0, 1, 3, 2)",203.06111,10,5,0,10
16,1,8,40,2,1,0,"(1, 0, 2, 3, 4)",309.6977085,10,5,0,10
32,8,32,128,0,1,0,"(1, 0, 2, 3, 4)",203.501133,10,5,0,10
4,2,32,10,2,1,1,"(4, 1, 0, 3, 2)",225.6705065,10,5,0,10
4,1,32,30,1,0,0,"(4, 0, 1, 3, 2)",121.8612795,10,5,0,10
8,4,4,124,1,1,1,"(1, 0, 2, 3, 4)",288.2297955,10,5,0,10
2,8,32,84,2,1,0,"(4, 0, 1, 3, 2)",269.59935900000005,10,5,0,10
2,2,2,90,1,0,0,"(1, 4, 0, 3, 2)",269.664227,10,5,0,10
2,2,64,38,2,0,0,"(1, 0, 3, 4, 2)",165.00433650000002,10,5,0,10
16,16,4,92,2,1,1,"(4, 1, 0, 3, 2)",518.2994255000001,10,5,0,10
2,16,32,90,2,0,0,"(0, 1, 2, 3, 4)",115.0900995,10,5,0,10
8,4,2,118,2,0,1,"(4, 1, 0, 3, 2)",398.7433105,10,5,0,10
64,2,4,6,1,1,1,"(0, 1, 4, 3, 2)",126.912476,10,5,0,10
32,8,64,66,0,1,0,"(0, 1, 3, 4, 2)",89.9127655,10,5,0,10
4,16,16,68,0,1,0,"(1, 0, 2, 3, 4)",302.0868335,10,5,0,10
64,8,32,22,0,0,0,"(1, 0, 4, 3, 2)",252.0530195,10,5,0,10
16,4,8,24,2,1,1,"(1, 0, 2, 3, 4)",281.172651,10,5,0,10
32,8,16,6,0,1,0,"(1, 4, 0, 3, 2)",505.057527,10,5,0,10
4,2,1,26,0,1,1,"(0, 1, 3, 4, 2)",231.179097,10,5,0,10
64,1,32,50,1,1,1,"(1, 0, 4, 3, 2)",336.654282,10,5,0,10
64,8,8,100,0,0,1,"(1, 0, 3, 4, 2)",231.22197,10,5,0,10
8,8,2,16,1,0,0,"(1, 4, 0, 3, 2)",481.330973,10,5,0,10
4,2,64,68,0,1,1,"(1, 0, 2, 3, 4)",254.363602,10,5,0,10
64,2,16,68,2,0,0,"(0, 1, 3, 2, 4)",124.250143,10,5,0,10
32,8,4,8,2,1,1,"(0, 1, 2, 3, 4)",115.7015035,10,5,0,10
2,1,8,18,2,1,0,"(0, 1, 3, 2, 4)",106.8952905,10,5,0,10
64,8,32,30,1,0,0,"(0, 1, 3, 2, 4)",104.062583,10,5,0,10
64,16,1,90,2,1,0,"(1, 0, 2, 3, 4)",395.8723585,10,5,0,10
8,2,4,84,2,1,0,"(0, 4, 1, 3, 2)",114.851467,10,5,0,10
8,1,1,84,1,1,1,"(1, 0, 4, 3, 2)",258.7802905,10,5,0,10
16,8,64,24,2,0,1,"(1, 0, 4, 3, 2)",346.28141500000004,10,5,0,10
2,4,64,80,2,1,1,"(0, 1, 3, 4, 2)",98.7839355,10,5,0,10
16,2,2,100,1,0,1,"(4, 1, 0, 3, 2)",384.439278,10,5,0,10
2,8,2,18,2,1,1,"(1, 4, 0, 3, 2)",351.375986,10,5,0,10
4,1,4,16,1,1,0,"(1, 0, 2, 3, 4)",250.875625,10,5,0,10
32,2,16,74,1,1,1,"(0, 1, 2, 3, 4)",100.5242325,10,5,0,10
64,4,2,52,2,1,0,"(0, 1, 2, 3, 4)",112.263616,10,5,0,10
2,16,4,48,0,0,1,"(4, 0, 1, 3, 2)",507.437086,10,5,0,10
16,16,64,78,1,1,1,"(4, 0, 1, 3, 2)",421.262065,10,5,0,10
64,16,8,42,2,0,1,"(0, 4, 1, 3, 2)",96.7577105,10,5,0,10
64,2,16,84,2,1,0,"(4, 0, 1, 3, 2)",131.776897,10,5,0,10
4,1,32,40,2,0,0,"(4, 0, 1, 3, 2)",109.6973345,10,5,0,10
2,16,8,114,0,0,1,"(4, 0, 1, 3, 2)",486.809002,10,5,0,10
8,16,64,70,0,0,0,"(1, 0, 3, 2, 4)",298.118132,10,5,0,10
32,4,4,16,2,0,1,"(0, 1, 3, 4, 2)",111.681406,10,5,0,10
16,16,16,126,2,0,1,"(4, 0, 1, 3, 2)",449.5631105,10,5,0,10
32,1,2,48,0,0,0,"(0, 4, 1, 3, 2)",195.593726,10,5,0,10
4,4,1,96,1,1,0,"(0, 1, 4, 3, 2)",151.3060795,10,5,0,10
2,4,16,120,0,0,1,"(1, 4, 0, 3, 2)",399.6407965,10,5,0,10
4,2,64,80,2,1,0,"(1, 0, 4, 3, 2)",245.0894125,10,5,0,10
8,16,8,18,1,0,1,"(1, 4, 0, 3, 2)",552.9993939999999,10,5,0,10
32,1,8,76,0,1,1,"(0, 1, 3, 2, 4)",140.22106300000002,10,5,0,10
2,8,1,50,0,1,0,"(4, 1, 0, 3, 2)",472.892914,10,5,0,10
8,8,2,68,2,1,0,"(0, 1, 4, 3, 2)",119.5491415,10,5,0,10
2,1,1,16,1,0,1,"(0, 1, 2, 3, 4)",136.82969300000002,10,5,0,10
8,1,8,40,1,0,0,"(0, 1, 2, 3, 4)",136.48970300000002,10,5,0,10
64,2,2,46,0,0,0,"(0, 4, 1, 3, 2)",167.110515,10,5,0,10
64,4,8,98,2,1,1,"(0, 1, 3, 2, 4)",120.1799065,10,5,0,10
32,1,16,12,2,0,1,"(1, 0, 3, 2, 4)",352.63083,10,5,0,10
64,8,1,96,0,1,0,"(1, 0, 3, 2, 4)",282.5093625,10,5,0,10
2,1,32,124,2,1,1,"(4, 1, 0, 3, 2)",213.797107,10,5,0,10
8,4,8,50,0,1,0,"(1, 0, 3, 2, 4)",401.542537,10,5,0,10
2,4,32,4,2,1,1,"(1, 0, 4, 3, 2)",213.245738,10,5,0,10
32,1,4,112,0,0,0,"(0, 1, 3, 2, 4)",168.7446945,10,5,0,10
32,4,1,128,2,0,1,"(1, 0, 2, 3, 4)",348.3898725,10,5,0,10
8,1,8,50,2,1,1,"(0, 4, 1, 3, 2)",139.44958,10,5,0,10
2,8,4,14,0,0,1,"(4, 1, 0, 3, 2)",538.222336,10,5,0,10
8,8,64,58,0,0,1,"(4, 0, 1, 3, 2)",345.722284,10,5,0,10
8,16,4,78,1,1,1,"(0, 1, 2, 3, 4)",142.282375,10,5,0,10
16,1,1,44,1,1,1,"(0, 1, 3, 2, 4)",129.644096,10,5,0,10
32,1,64,34,0,1,1,"(1, 4, 0, 3, 2)",212.5480685,10,5,0,10
64,4,8,32,2,0,1,"(0, 1, 4, 3, 2)",117.9361815,10,5,0,10
2,2,2,116,0,0,1,"(4, 0, 1, 3, 2)",348.632088,10,5,0,10
8,1,16,28,0,1,1,"(0, 1, 3, 2, 4)",193.8266565,10,5,0,10
16,2,1,128,0,1,0,"(1, 4, 0, 3, 2)",372.7976225,10,5,0,10
32,2,1,44,2,0,1,"(0, 1, 3, 4, 2)",132.80661700000002,10,5,0,10
4,1,64,64,2,0,0,"(4, 0, 1, 3, 2)",109.33895,10,5,0,10
64,2,4,68,1,1,0,"(0, 1, 2, 3, 4)",146.2656465,10,5,0,10
4,16,16,80,1,0,1,"(4, 1, 0, 3, 2)",540.8776869999999,10,5,0,10
8,8,1,52,1,1,1,"(0, 1, 2, 3, 4)",137.3503185,10,5,0,10
8,2,16,42,2,1,1,"(0, 1, 4, 3, 2)",126.77068,10,5,0,10
32,2,8,106,0,0,0,"(0, 1, 4, 3, 2)",152.8401675,10,5,0,10
16,16,8,112,1,0,0,"(1, 0, 3, 2, 4)",343.577209,10,5,0,10
16,4,1,80,2,1,1,"(1, 0, 3, 2, 4)",323.65861900000004,10,5,0,10
32,1,1,60,0,1,0,"(1, 4, 0, 3, 2)",317.4773625,10,5,0,10
64,16,2,42,0,1,0,"(1, 0, 4, 3, 2)",284.13997700000004,10,5,0,10
2,2,16,78,0,1,1,"(1, 0, 3, 4, 2)",318.7776025,10,5,0,10
32,1,16,34,0,1,1,"(0, 1, 3, 4, 2)",152.184947,10,5,0,10
2,4,2,106,0,1,1,"(1, 4, 0, 3, 2)",443.1024165,10,5,0,10
2,1,64,108,1,1,0,"(0, 1, 3, 4, 2)",159.3129075,10,5,0,10
2,2,64,72,2,1,0,"(1, 0, 3, 4, 2)",198.7192135,10,5,0,10
4,8,2,124,0,1,1,"(0, 4, 1, 3, 2)",277.076024,10,5,0,10
4,8,4,20,2,0,1,"(0, 1, 3, 2, 4)",111.6887355,10,5,0,10
16,8,64,8,1,1,1,"(1, 0, 3, 2, 4)",315.068844,10,5,0,10
32,2,32,126,0,0,1,"(0, 1, 4, 3, 2)",162.6900405,10,5,0,10
16,2,1,42,2,0,0,"(0, 1, 3, 4, 2)",130.56778,10,5,0,10
64,8,4,8,2,0,1,"(0, 1, 4, 3, 2)",99.3007245,10,5,0,10
8,1,4,122,0,1,0,"(0, 1, 4, 3, 2)",210.6334425,10,5,0,10
32,2,1,44,1,1,0,"(4, 0, 1, 3, 2)",173.759203,10,5,0,10
8,8,2,112,2,1,0,"(0, 4, 1, 3, 2)",162.975441,10,5,0,10
4,16,2,110,0,0,0,"(0, 1, 2, 3, 4)",243.4475895,10,5,0,10
8,4,4,116,1,0,0,"(0, 1, 2, 3, 4)",145.0339655,10,5,0,10
32,2,16,58,2,1,1,"(4, 0, 1, 3, 2)",201.4708745,10,5,0,10
32,1,16,76,0,1,0,"(4, 1, 0, 3, 2)",219.883689,10,5,0,10
4,2,4,30,2,1,1,"(0, 1, 2, 3, 4)",121.29973,10,5,0,10
2,2,16,30,0,1,1,"(0, 1, 3, 2, 4)",219.035149,10,5,0,10
32,2,16,20,0,1,1,"(0, 1, 4, 3, 2)",132.9091655,10,5,0,10
64,8,4,70,2,1,0,"(1, 0, 3, 2, 4)",381.843246,10,5,0,10
64,16,32,10,0,1,1,"(4, 0, 1, 3, 2)",491.363168,10,5,0,10
16,4,1,32,1,1,0,"(1, 0, 3, 2, 4)",316.020187,10,5,0,10
32,16,64,100,2,1,1,"(1, 0, 3, 2, 4)",402.329331,10,5,0,10
32,1,1,120,0,1,1,"(0, 1, 4, 3, 2)",219.150477,10,5,0,10
64,2,8,10,1,0,1,"(0, 4, 1, 3, 2)",126.1696875,10,5,0,10
2,4,32,52,1,1,1,"(0, 1, 3, 2, 4)",140.25419549999998,10,5,0,10
2,2,8,84,1,0,1,"(0, 1, 3, 4, 2)",132.6712715,10,5,0,10
64,2,1,16,2,0,1,"(0, 1, 2, 3, 4)",121.411393,10,5,0,10
4,2,64,70,2,1,1,"(4, 0, 1, 3, 2)",208.9081245,10,5,0,10
16,16,8,18,1,0,0,"(0, 1, 3, 2, 4)",121.582674,10,5,0,10
16,8,2,102,1,0,0,"(1, 0, 3, 2, 4)",307.68105,10,5,0,10
4,4,64,62,2,1,0,"(1, 0, 2, 3, 4)",246.571786,10,5,0,10
32,16,1,12,0,0,0,"(1, 0, 2, 3, 4)",444.004773,10,5,0,10
16,4,1,12,0,1,1,"(0, 1, 2, 3, 4)",217.455133,10,5,0,10
32,1,8,96,0,0,0,"(0, 4, 1, 3, 2)",159.7586025,10,5,0,10
64,4,64,70,2,0,1,"(4, 0, 1, 3, 2)",264.0732875,10,5,0,10
4,16,16,96,2,0,0,"(1, 0, 3, 4, 2)",254.0426805,10,5,0,10
8,2,2,58,0,0,1,"(0, 4, 1, 3, 2)",235.7839655,10,5,0,10
4,8,4,90,0,0,1,"(1, 0, 4, 3, 2)",410.3267285,10,5,0,10
16,8,4,36,2,1,0,"(1, 4, 0, 3, 2)",413.376623,10,5,0,10
4,4,32,94,0,0,1,"(0, 1, 3, 4, 2)",181.9994865,10,5,0,10
2,8,4,94,2,0,0,"(0, 1, 4, 3, 2)",153.5906235,10,5,0,10
32,2,8,76,2,1,1,"(0, 1, 3, 4, 2)",157.39736349999998,10,5,0,10
16,16,1,38,1,0,1,"(0, 4, 1, 3, 2)",137.883231,10,5,0,10
2,2,64,20,2,0,0,"(1, 4, 0, 3, 2)",231.726084,10,5,0,10
64,2,2,58,1,0,0,"(1, 0, 3, 2, 4)",382.865151,10,5,0,10
4,8,32,42,0,1,1,"(0, 1, 4, 3, 2)",191.073139,10,5,0,10
64,2,4,8,1,0,1,"(0, 1, 3, 2, 4)",114.2938815,10,5,0,10
4,16,64,36,0,0,1,"(1, 0, 4, 3, 2)",326.03297050000003,10,5,0,10
16,8,16,92,1,1,1,"(4, 0, 1, 3, 2)",339.78549350000003,10,5,0,10
8,1,32,56,1,1,0,"(1, 0, 3, 4, 2)",300.3811675,10,5,0,10
8,2,4,40,1,1,1,"(0, 4, 1, 3, 2)",136.9982375,10,5,0,10
16,4,2,104,0,1,1,"(1, 4, 0, 3, 2)",364.0555035,10,5,0,10
32,8,32,18,0,0,1,"(1, 0, 2, 3, 4)",308.29048750000004,10,5,0,10
64,2,32,32,2,0,0,"(1, 0, 2, 3, 4)",412.64943,10,5,0,10
16,2,4,42,2,1,0,"(4, 1, 0, 3, 2)",374.7976405,10,5,0,10
8,2,16,38,1,0,1,"(0, 1, 4, 3, 2)",140.432488,10,5,0,10
8,4,4,120,0,1,0,"(0, 1, 4, 3, 2)",238.4611335,10,5,0,10
4,16,8,50,1,0,0,"(4, 0, 1, 3, 2)",448.2456805000001,10,5,0,10
4,8,1,34,2,0,1,"(1, 4, 0, 3, 2)",427.5399085,10,5,0,10
8,16,16,80,2,0,1,"(1, 0, 3, 4, 2)",301.5581715,10,5,0,10
32,2,16,116,0,1,1,"(1, 0, 2, 3, 4)",235.221922,10,5,0,10
