chunk_size,chunk_size2,chunk_size3,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,omp_proc_bind,permutation,hostname,compute_time,compute_times,Timestamps,Feasibility,energy
128,4,4,1,10,1,0,0,0,"(2, 3, 1, 0, 4)",hpclab19.idi.ntnu.no,9.879819,"[9.861389, 9.90193, 9.93696, 9.799399, 9.836549, 9.762119, 9.787418, 9.93685, 9.790719, 9.97733]",1702756543744,True,0.2777032000001782
256,4,32,256,2,1,0,1,0,"(0, 2, 1, 3, 4)",hpclab19.idi.ntnu.no,8.703243,"[10.02015, 9.78726, 9.661198, 9.554859, 9.100048, 8.826859, 8.764688, 8.729588, 8.618138, 8.734438]",1702756544792,True,0.24155090000022028
16,8,16,128,8,0,1,0,0,"(2, 0, 1, 3, 4)",hpclab19.idi.ntnu.no,3.6294085,"[5.443655, 4.117564, 3.699324, 3.606063, 3.587903, 3.575584, 3.610983, 3.569614, 3.528753, 3.539492]",1702756545584,True,0.11762840000010329
1024,8,4,8,12,0,1,1,0,"(0, 1, 3, 2, 4)",hpclab19.idi.ntnu.no,1.8212915,"[2.098812, 1.721911, 1.602331, 1.563612, 1.571002, 1.594411, 1.573421, 1.571982, 1.569921, 1.573551]",1702756546308,True,0.06835730000020704
128,16,4,2,10,0,1,1,0,"(2, 3, 1, 0, 4)",hpclab19.idi.ntnu.no,9.907179,"[10.010249, 9.871649, 9.888469, 9.92772, 9.889439, 9.828639, 10.010159, 9.957039, 9.924919, 9.83247]",1702756547470,True,0.2698285999998916
2,2,8,256,12,0,1,1,0,"(2, 3, 0, 1, 4)",hpclab19.idi.ntnu.no,19.824584,"[19.940408, 19.668289, 19.870549, 19.884008, 19.859639, 19.908828, 19.914289, 19.669838, 19.456168, 19.873429]",1702756549081,True,0.5385157999997319
128,16,16,8,10,2,0,0,0,"(0, 3, 2, 1, 4)",hpclab19.idi.ntnu.no,4.7930945000000005,"[7.535257, 4.795094, 4.721635, 4.724284, 4.704814, 4.745675, 4.705884, 7.113107, 4.703275, 7.275227]",1702756549976,True,0.18174719999988156
32,32,2,16,6,0,0,1,0,"(3, 2, 1, 0, 4)",hpclab19.idi.ntnu.no,4.97293,"[5.077775, 4.996024, 4.989515, 4.944435, 4.915294, 5.070696, 4.971573, 4.932415, 4.952634, 5.025626]",1702756550836,True,0.13894860000000336
8,32,16,64,16,0,1,0,0,"(2, 3, 1, 0, 4)",hpclab19.idi.ntnu.no,161.93017600000002,"[161.715391, 161.959441, 161.280558, 161.0947, 161.215331, 161.520829, 162.141661, 162.503431, 161.50108, 162.365521]",1702756559565,True,3.7874994000001605
256,8,16,4,8,0,0,0,0,"(0, 2, 1, 3, 4)",hpclab19.idi.ntnu.no,3.3199585,"[4.733685, 3.980964, 3.522593, 3.172083, 3.305633, 3.282123, 3.262143, 3.254633, 3.262334, 3.236452]",1702756560348,True,0.11348140000009152
