chunk_size,chunk_size2,chunk_size3,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,compute_time,iterations,repeats,wait_between_repeats,wait_after_run
1,1,1,32,7,2,1,1,"(3, 1, 2, 0, 4)",2.329556,10,5,0,10
64,32,1,128,17,1,1,1,"(3, 1, 0, 2, 4)",3.156755,10,5,0,10
512,64,1,128,10,0,0,0,"(1, 0, 2, 3, 4)",2.7596405,10,5,0,10
128,1,2,2,19,1,0,1,"(0, 3, 1, 2, 4)",1.9209935,10,5,0,10
32,16,2,256,15,2,0,0,"(2, 0, 3, 1, 4)",3.610638,10,5,0,10
128,64,16,128,16,2,0,0,"(0, 1, 2, 3, 4)",4.9031925,10,5,0,10
2,4,1,8,6,1,1,1,"(0, 2, 3, 1, 4)",6.577829,10,5,0,10
16,64,1,1,20,1,1,1,"(0, 2, 3, 1, 4)",8.198902,10,5,0,10
32,2,8,1,4,2,0,1,"(0, 3, 2, 1, 4)",8.7723065,10,5,0,10
4,16,2,2,9,1,1,1,"(2, 1, 3, 0, 4)",27.2655185,10,5,0,10
512,8,1,1,9,0,0,1,"(1, 2, 3, 0, 4)",2.9073365000000004,10,5,0,10
4,16,32,16,7,0,0,0,"(0, 2, 3, 1, 4)",26.2964975,10,5,0,10
1024,4,8,256,5,1,1,1,"(3, 0, 2, 1, 4)",32.209671,10,5,0,10
8,16,16,4,13,2,1,0,"(2, 3, 1, 0, 4)",137.098791,10,5,0,10
1024,64,64,4,10,2,0,1,"(3, 2, 0, 1, 4)",213.8533045,10,5,0,10
128,16,4,16,6,0,0,1,"(0, 1, 2, 3, 4)",2.791541,10,5,0,10
1,1,64,16,8,0,0,1,"(0, 1, 2, 3, 4)",5.592024,10,5,0,10
16,2,2,16,11,2,1,0,"(1, 0, 3, 2, 4)",6.213874499999999,10,5,0,10
64,4,64,256,12,2,1,0,"(0, 3, 1, 2, 4)",10.014194,10,5,0,10
1024,2,32,128,18,2,0,1,"(2, 0, 1, 3, 4)",10.676053,10,5,0,10
2,8,32,256,11,1,0,0,"(0, 2, 3, 1, 4)",16.549379000000002,10,5,0,10
512,32,2,64,14,2,1,1,"(0, 2, 3, 1, 4)",1.5994895,10,5,0,10
2,4,8,64,18,2,0,1,"(2, 3, 0, 1, 4)",49.4506935,10,5,0,10
1,16,16,256,16,2,0,0,"(2, 0, 3, 1, 4)",80.27276499999999,10,5,0,10
2,8,2,2,16,1,1,0,"(2, 0, 1, 3, 4)",96.377764,10,5,0,10
