chunk_size,chunk_size2,chunk_size3,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,repeats,wait_between_repeats,wait_after_run,iterations,compute_time
128,16,4,16,6,0,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,2.355846
128,64,16,128,16,2,0,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,3.903748
64,32,1,128,17,1,1,1,"(3, 1, 0, 2, 4)",5,0.0,10.0,10,2.224887
512,8,1,1,9,0,0,1,"(1, 2, 3, 0, 4)",5,0.0,10.0,10,1.9417955
2,8,32,256,11,1,0,0,"(0, 2, 3, 1, 4)",5,0.0,10.0,10,10.760951
128,1,2,2,19,1,0,1,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,1.0220415
32,2,8,1,4,2,0,1,"(0, 3, 2, 1, 4)",5,0.0,10.0,10,8.434639
4,16,32,16,7,0,0,0,"(0, 2, 3, 1, 4)",5,0.0,10.0,10,16.139113000000002
1024,4,8,256,5,1,1,1,"(3, 0, 2, 1, 4)",5,0.0,10.0,10,20.702838999999997
1024,64,64,4,10,2,0,1,"(3, 2, 0, 1, 4)",5,0.0,10.0,10,180.5322185
16,2,2,16,11,2,1,0,"(1, 0, 3, 2, 4)",5,0.0,10.0,10,3.4522125
4,16,2,2,9,1,1,1,"(2, 1, 3, 0, 4)",5,0.0,10.0,10,19.481377000000002
2,4,8,64,18,2,0,1,"(2, 3, 0, 1, 4)",5,0.0,10.0,10,31.6276905
2,16,32,32,14,0,0,0,"(3, 2, 0, 1, 4)",5,0.0,10.0,10,645.264388
8,16,16,4,13,2,1,0,"(2, 3, 1, 0, 4)",5,0.0,10.0,10,69.6022315
64,4,64,256,12,2,1,0,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,6.7395945
1,1,1,32,7,2,1,1,"(3, 1, 2, 0, 4)",5,0.0,10.0,10,1.6026625
1,1,64,16,8,0,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,5.7872555
16,64,64,32,8,2,1,0,"(3, 0, 2, 1, 4)",5,0.0,10.0,10,923.528242
32,16,2,256,15,2,0,0,"(2, 0, 3, 1, 4)",5,0.0,10.0,10,2.156677
4,32,32,16,5,2,1,1,"(3, 0, 1, 2, 4)",5,0.0,10.0,10,941.476645
512,64,1,128,10,0,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,2.6475334999999998
4,8,32,64,11,1,0,1,"(3, 1, 2, 0, 4)",5,0.0,10.0,10,161.410515
16,64,1,1,20,1,1,1,"(0, 2, 3, 1, 4)",5,0.0,10.0,10,7.7687445
2,4,1,8,6,1,1,1,"(0, 2, 3, 1, 4)",5,0.0,10.0,10,12.393501
64,64,8,4,2,0,1,0,"(0, 3, 1, 2, 4)",5,0.0,10.0,10,6.2606355
1024,2,32,128,18,2,0,1,"(2, 0, 1, 3, 4)",5,0.0,10.0,10,7.325984
1,8,4,2,19,0,0,1,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,7.2218325
1,4,2,128,20,1,1,0,"(2, 3, 0, 1, 4)",5,0.0,10.0,10,16.1115925
1,16,16,256,16,2,0,0,"(2, 0, 3, 1, 4)",5,0.0,10.0,10,57.8130795
16,4,64,8,18,1,0,0,"(2, 3, 0, 1, 4)",5,0.0,10.0,10,152.76388300000002
32,16,8,2,11,2,1,0,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,3.0670895
2,4,4,2,2,0,1,0,"(2, 3, 1, 0, 4)",5,0.0,10.0,10,32.829357
32,8,1,256,17,1,0,0,"(3, 2, 1, 0, 4)",5,0.0,10.0,10,2.125916
4,64,4,4,17,1,0,0,"(2, 0, 3, 1, 4)",5,0.0,10.0,10,114.8774665
8,32,32,128,10,0,1,1,"(0, 1, 3, 2, 4)",5,0.0,10.0,10,13.509245
512,32,16,32,16,0,0,1,"(0, 2, 1, 3, 4)",5,0.0,10.0,10,2.493895
128,32,1,4,9,1,1,0,"(1, 3, 2, 0, 4)",5,0.0,10.0,10,1.8991755000000001
