tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,compute_time,energy,iterations,wait_after_run
1024,16,64,4,25.094784,186.23906761841732,10,0
8,32,2,4,93.712768,502.4603138691737,10,0
1024,8,4,8,50.22992,309.9435776040635,10,0
1024,128,1,16,34.19184,304.3216237719386,10,0
1,1024,1,16,39.434752,333.18150498166,10,0
1024,128,4,32,6.432,132.7220667403289,10,0
256,64,8,8,7.014592,132.57120474432014,10,0
256,1024,4,1,7.029664,136.79134158484337,10,0
512,1024,4,64,9.603968,155.8200363241021,10,0
512,512,64,2,2.105728,104.14878271785489,10,0
64,256,64,2,2.217536,103.54545119479592,10,0
256,64,16,64,9.494528,142.03084324136387,10,0
256,1024,32,4,2.027392,108.61462620088447,10,0
64,512,4,2,4.009792,119.46451633513044,10,0
1024,16,8,4,25.186688,209.63987374756223,10,0
128,32,4,2,12.406784,166.4737255762153,10,0
512,32,8,1,13.441472,168.03440370410777,10,0
512,64,1,64,8.636512,145.0628859474285,10,0
128,4,4,4,87.3688,442.0317004551577,10,0
1024,128,16,16,4.64208,119.31084081229322,10,0
64,128,8,16,3.853952,114.19197181430847,10,0
1024,128,1024,1,6.418688,128.36900789010411,10,0
1,32,1,8,797.261312,125.695846632015,10,0
1024,4,256,4,95.997952,467.8045172365802,10,0
64,32,1,8,13.03008,166.42796179237322,10,0
1024,512,16,64,2.387968,106.31097270737835,10,0
16,32,2,4,47.095808,309.25867872338114,10,0
4,16,2,1,351.642816,92.26380092489008,10,0
256,4,32,4,92.499968,454.90489453185535,10,0
128,64,4,16,7.235872,134.4960187386865,10,0
1024,1024,256,1,2.39552,110.03703136813948,10,0
256,1024,1,1024,30.521472,308.45074091102623,10,0
32,1024,8,8,2.631968,111.38146360055768,10,0
256,32,4,16,13.334528,159.97100064080942,10,0
256,8,32,1,44.751712,280.89029181611727,10,0
64,512,2,16,14.931392,191.3077334442864,10,0
1024,64,4,32,7.8552,139.6660533616134,10,0
256,64,8,1,9.57056,151.1150269526311,10,0
1024,8,128,4,48.525312,296.7052103245192,10,0
16,128,8,8,13.77296,165.62761493269264,10,0
1024,64,32,16,7.55712,133.04883665971246,10,0
1024,128,4,2,9.760096,158.27719570546245,10,0
64,512,32,2,1.675264,105.21626180474628,10,0
32,256,8,1,4.84768,125.53052642278764,10,0
512,1024,1,64,41.993344,374.66796859030296,10,0
64,512,2,128,12.797408,179.15876623705222,10,0
32,128,4,1,8.550144,149.55975106464598,10,0
512,16,2,16,27.746304,225.18899686240584,10,0
8,2,2,1,1392.519232,164.70237830277898,10,0
256,128,2,64,8.11376,148.61496454104494,10,0
512,32,16,4,13.076192,159.77048441096025,10,0
1024,256,32,32,2.674912,106.59769107068398,10,0
16,16,1,4,89.497696,489.6776675332338,10,0
16,64,2,8,25.230976,219.76132800188287,10,0
32,128,1,8,8.651712,154.03065069899992,10,0
256,64,1,64,8.658688,145.73414186176322,10,0
256,64,16,1,8.005504,140.7623652451992,10,0
16,1024,4,64,4.362592,119.8487711798667,10,0
256,32,32,1,13.107648,159.78190438008187,10,0
128,2,16,1,177.28944,76.90133954343413,10,0
32,128,16,2,7.202816,133.1178923676734,10,0
32,128,4,4,7.302752,136.66483293159982,10,0
128,512,1,8,17.03792,211.8530615815814,10,0
16,2,4,1,696.694944,115.49066624986158,10,0
512,32,2,32,14.368576,170.17126652720424,10,0
512,4,8,4,92.147712,468.0395352149424,10,0
128,32,16,1,12.427264,158.68141079553914,10,0
128,4,32,4,92.475392,436.73969184652367,10,0
1024,128,4,8,4.894752,125.65079121789029,10,0
4,512,2,4,17.512448,197.8493016356269,10,0
256,256,256,2,2.414848,109.62248530259455,10,0
128,32,1,4,15.359968,188.89709453305284,10,0
32,1,4,1,679.60416,113.82714918624744,10,0
64,4,4,1,71.920896,413.227217847096,10,0
16,2,16,2,736.231232,116.6079928049047,10,0
64,64,2,64,7.483392,136.13953352334764,10,0
64,64,2,2,7.475808,143.06675004750713,10,0
512,1024,2,2,6.977536,145.39222088143688,10,0
1024,256,2,4,12.004576,175.56370126154576,10,0
512,64,8,4,7.357088,135.91093365386655,10,0
1024,2,4,1,156.802784,74.09509380417244,10,0
4,1024,1,1024,122.743936,712.2957999685173,10,0
64,256,8,128,3.860928,117.91722068876238,10,0
256,1024,256,4,2.179104,105.07964507165345,10,0
128,8,64,2,47.122432,289.0062614804333,10,0
512,2,4,1,154.6016,74.45822273232706,10,0
1024,16,32,8,25.161024,208.0731448480712,10,0
512,128,16,1,5.296128,127.08429581169642,10,0
64,64,16,4,6.925408,132.00360924327416,10,0
128,128,2,128,4.59152,121.53230817557753,10,0
64,16,4,8,23.744512,206.0568216059088,10,0
128,8,1,4,44.5848,296.8192939877731,10,0
1024,128,2,16,10.996032,163.54756225941915,10,0
1024,2,128,1,180.097056,78.34721374671076,10,0
16,256,16,4,7.571456,137.73905233193616,10,0
512,256,16,32,3.023136,112.6494908044646,10,0
512,128,512,1,3.980704,117.50132416840408,10,0
4,16,1,8,379.349184,93.9115428529431,10,0
512,64,256,4,7.067648,131.31791032063526,10,0
512,256,4,256,5.98544,131.43149875892203,10,0
256,256,256,1,2.424576,109.11196017044232,10,0
32,64,16,32,14.893824,168.91624762652845,10,0
1024,256,128,1,3.110912,112.91018111665537,10,0
128,256,2,64,16.001248,196.26356092458192,10,0
16,256,4,4,8.027584,144.02221647418654,10,0
256,256,8,8,3.551232,117.54779297413018,10,0
4,32,2,2,190.424736,78.18124366918869,10,0
1,1024,1,8,41.263104,351.08893849836846,10,0
256,1,128,1,366.628864,88.88737946816435,10,0
1024,256,1,16,38.772736,346.07760331354785,10,0
64,2,64,2,183.440736,77.55415271146481,10,0
128,32,2,16,14.460928,171.76466578340606,10,0
64,256,4,2,4.077536,122.37637827860776,10,0
256,64,8,32,7.585056,135.35343126389645,10,0
32,1024,8,128,3.636576,118.5600807521514,10,0
512,32,512,1,12.00912,154.15063369049165,10,0
4,128,1,4,53.566464,378.3739432439122,10,0
256,32,1,1,46.170208,403.9969342646958,10,0
256,16,4,1,23.531296,216.8195867382817,10,0
64,512,32,1,1.6704,104.52802912372138,10,0
512,2,512,2,184.9344,77.99699298364874,10,0
128,1024,128,4,1.889728,104.73721246588862,10,0
256,128,4,2,9.508864,159.69398838083637,10,0
64,128,64,4,3.893088,118.25505345482176,10,0
16,64,2,16,26.97024,227.08775386604967,10,0
2,1024,2,512,102.74736,599.8109876672041,10,0
256,64,1,2,30.228448,301.9868739393592,10,0
512,1024,16,16,2.703776,110.53040656545858,10,0
8,1024,2,64,5.331584,131.18934579118329,10,0
32,128,1,16,8.573216,150.38608081482784,10,0
512,1024,4,16,10.607584,167.26610563676857,10,0
1024,8,4,1,43.937024,294.361874457314,10,0
512,512,2,512,8.305952,152.3035614322538,10,0
256,256,4,1,10.117856,167.16990476223867,10,0
32,128,2,1,13.187072,182.9854347337724,10,0
32,32,16,4,25.053728,212.4769059392449,10,0
64,256,2,8,8.209152,153.3909203641356,10,0
128,32,2,1,25.45312,262.69058741786233,10,0
256,1024,4,32,9.929984,160.7517983969485,10,0
16,512,16,32,4.82304,122.53622867914882,10,0
1024,64,4,8,8.47824,144.2421095124468,10,0
1,16,1,8,1572.601824,184.4968930240684,10,0
512,8,8,8,47.674016,303.665984559407,10,0
16,128,16,64,19.075776,191.07223549466664,10,0
32,512,16,32,2.805088,112.42017710949996,10,0
2,8,1,4,1515.704288,177.50109750093768,10,0
512,512,1,1,22.592,250.38889227710465,10,0
256,512,128,2,2.199712,106.1170769064844,10,0
1,512,1,512,369.715168,95.50030327612475,10,0
16,16,2,1,87.291232,489.2271046549371,10,0
128,2,64,2,184.313856,76.29106241999392,10,0
128,1024,1,32,36.777984,338.99091386497366,10,0
