tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,compute_time,energy,iterations,wait_after_run
64,512,2,128,12.679168,123.95218746405293,10,0
512,1024,1,64,41.631552,242.3175223244817,10,0
512,1024,4,64,7.651328,112.30809649222373,10,0
256,1024,32,4,2.044928,89.85905742560159,10,0
512,4,8,4,98.777152,283.18463112970903,10,0
32,128,4,1,8.126464,113.69334533130431,10,0
32,256,8,1,4.410368,99.00641922880295,10,0
512,512,64,2,2.251776,88.37482673265752,10,0
1,1024,1,16,42.658624,230.193278086426,10,0
256,64,8,8,10.530848,108.18378207549156,10,0
1024,128,4,32,5.961728,101.02326790604948,10,0
512,32,2,32,20.788224,132.1612011342625,10,0
256,64,16,64,12.609536,110.94725991117144,10,0
64,512,4,2,3.09248,96.16463062518407,10,0
64,512,32,2,2.08896,86.60681647543396,10,0
1024,128,1,16,25.719808,184.47801213194464,10,0
512,16,2,16,27.27424,145.096043561334,10,0
8,32,2,4,96.958464,306.1593301540182,10,0
1024,16,64,4,38.916096,163.29505891553174,10,0
64,256,64,2,3.250176,89.09312639872414,10,0
1024,16,8,4,25.327808,137.94765679893447,10,0
1,32,1,8,840.244224,85.08802830365572,10,0
16,32,2,4,49.499136,205.936357048868,10,0
64,64,16,4,10.285056,108.3491018901846,10,0
128,32,16,1,12.750848,112.4342201043346,10,0
16,2,4,1,711.92992,79.20530457022114,10,0
1024,4,256,4,153.870336,396.9148068883045,10,0
128,4,4,4,96.789312,288.53206997775555,10,0
64,128,8,16,5.639328,98.58753255622857,10,0
1024,128,16,16,6.545408,99.14863398170276,10,0
1024,16,32,8,40.474624,169.49954328449724,10,0
1024,512,16,64,2.3296,87.16650604557208,10,0
4,16,2,1,363.685888,65.97129327787799,10,0
128,512,1,8,26.007552,190.6307551553932,10,0
512,64,1,64,12.074144,123.80032712418004,10,0
1024,2,4,1,138.448704,396.0444744712592,10,0
128,32,4,2,12.810368,120.6750475508629,10,0
256,1024,4,1,5.322752,109.6708258765089,10,0
64,32,1,8,13.894496,132.1226710972547,10,0
256,4,32,4,147.448832,387.8225523591713,10,0
1024,64,4,32,10.868736,111.6219868216274,10,0
1024,64,32,16,11.278336,107.44902462294,10,0
256,1,128,1,516.06544,72.20853851812204,10,0
128,8,1,4,48.349184,212.60713611566507,10,0
128,8,64,2,75.594752,241.4608708221036,10,0
256,64,8,1,8.756224,113.38266417330172,10,0
32,1024,8,8,3.034112,94.0693623059898,10,0
4,32,2,2,201.2456,50.1832334512842,10,0
8,1024,2,64,10.335232,120.96217976326685,10,0
16,256,4,4,7.903232,108.4928936996308,10,0
256,64,1,2,39.390112,241.8141023176009,10,0
32,128,16,2,7.368704,102.48962459318632,10,0
128,32,2,16,14.252032,120.88760183908792,10,0
1,512,1,512,261.910528,62.59296050342359,10,0
256,64,16,1,7.485408,102.53053271555407,10,0
256,8,32,1,48.30208,185.20233021527145,10,0
16,64,2,16,28.489568,153.91520329908184,10,0
16,1024,4,64,4.056064,97.96757305077118,10,0
256,1024,1,1024,29.671424,223.81565163181483,10,0
16,16,1,4,97.197056,324.4994833214293,10,0
512,2,4,1,138.290176,393.69755167866975,10,0
