chunk_size_i,chunk_size_fpos,chunk_size_k,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,omp_proc_bind,permutation,hostname,compute_time,compute_times,Timestamps,Feasibility,energy
32,16,32,2,12,0,0,0,0,"(0, 4, 3, 2, 1)",hpclab19.idi.ntnu.no,24.813641,"[68.73094, 68.81681, 68.811448, 68.80183, 68.79985, 24.743531, 24.856402, 24.837172, 24.813641, 24.774301, 68.729469, 68.82379, 68.808779, 68.812209, 68.801511, 24.694261, 24.809182, 24.740751, 24.717432, 24.696571, 24.669022, 24.772951, 24.798212, 24.735241, 24.761231]",1704592053533,True,0.6354040000005625
128,128,128,4,12,0,0,0,0,"(4, 1, 0, 3, 2)",hpclab19.idi.ntnu.no,19.733498,"[19.634096, 19.754447, 19.739628, 19.732346, 19.733857, 5.955766, 5.754974, 5.747035, 5.795324, 5.713896, 19.614947, 19.749587, 19.737906, 19.733498, 19.732367, 5.612325, 5.727515, 5.720084, 5.711536, 5.728854, 19.634706, 19.764898, 19.745167, 19.724157, 19.734887]",1704592064584,True,0.4424520000029588
4,4,4,1,12,0,0,0,0,"(0, 1, 2, 3, 4)",hpclab19.idi.ntnu.no,3429.41695,"[3435.57461, 3402.143513, 3423.461371, 3418.866648, 3407.934227, 116.212571, 114.996579, 119.464554, 119.863073, 116.623501, 3442.765257, 3418.801828, 3413.778972, 3468.45287, 3443.596109, 3468.902279, 3445.375071, 3415.080454, 3439.291475, 3445.32356, 3436.305092, 3425.189663, 3410.421121, 3429.41695, 3448.48603]",1704592144429,True,90.4259419999944
2,128,4,32,4,0,0,0,0,"(0, 4, 3, 2, 1)",hpclab19.idi.ntnu.no,1022.250741,"[1018.519147, 1022.250741, 1022.59593, 1021.86644, 1022.578421, 1072.408091, 1072.075881, 1072.029001, 1071.982731, 1072.006731, 1022.40574, 1022.3458, 1022.370671, 1022.40491, 1022.343331, 1022.238911, 1021.762848, 1022.320981, 1022.344651, 1020.530068, 1021.331499, 1021.36999, 1018.973647, 1021.711311, 1020.446818]",1704592180880,True,22.74224800000229
2,4,256,2,6,0,0,0,0,"(4, 1, 0, 2, 3)",hpclab19.idi.ntnu.no,78157.948606,"[77338.515729, 78157.948606, 77346.989834, 78168.992652, 78162.362248]",1704592580747,True,1785.937395
8,16,2,8,12,0,0,0,0,"(4, 1, 3, 0, 2)",hpclab19.idi.ntnu.no,83.824727,"[83.911467, 83.819797, 83.836987, 83.801017, 83.824727, 83.738007, 83.834107, 83.748197, 83.779237, 83.761897, 268.412349, 268.550539, 268.515219, 268.513279, 268.551869, 83.741137, 83.817697, 83.778767, 83.847917, 83.791147, 83.656937, 83.913838, 83.994997, 83.840817, 83.865087]",1704592594562,True,1.9353399999999965
4,4,16,1,10,0,0,0,0,"(4, 3, 2, 1, 0)",hpclab19.idi.ntnu.no,83.865087,"[83.656937, 83.913838, 83.994997, 83.840817, 83.865087, 83.656937, 83.913838, 83.994997, 83.840817, 83.865087, 83.656937, 83.913838, 83.994997, 83.840817, 83.865087, 83.656937, 83.913838, 83.994997, 83.840817, 83.865087, 83.656937, 83.913838, 83.994997, 83.840817, 83.865087]",1704592604754,False,1.9346839999998338
4,256,8,16,12,0,0,0,0,"(4, 0, 3, 1, 2)",hpclab19.idi.ntnu.no,96.09968,"[95.913329, 97.635111, 95.788439, 95.595879, 95.658391, 95.801449, 95.830179, 95.71158, 95.68097, 95.719929, 96.125349, 96.09968, 97.649302, 95.698489, 95.802101, 536.243808, 536.335088, 536.305427, 536.290366, 536.310347, 536.239896, 536.353208, 536.312948, 536.331147, 536.305506]",1704592622242,True,2.312761999999566
32,32,64,4,16,0,0,0,0,"(4, 1, 0, 2, 3)",hpclab19.idi.ntnu.no,659.486586,"[659.101415, 659.486586, 659.278025, 659.494296, 659.655135, 659.403025, 659.832766, 659.604936, 659.548865, 659.562295, 659.360895, 661.184408, 659.623195, 659.885275, 659.888206, 645.525771, 646.377391, 645.658381, 645.656161, 645.792572, 645.488791, 645.896851, 645.645351, 645.853701, 645.935911]",1704592649291,True,15.159021999999823
2,4,8,16,2,0,0,0,0,"(4, 1, 3, 0, 2)",hpclab19.idi.ntnu.no,1073.420431,"[882.068559, 882.001559, 881.494386, 881.497018, 883.955961, 882.024308, 882.621038, 882.87294, 882.625809, 884.93376, 1073.300661, 1074.721365, 1073.543484, 1073.352961, 1073.491233, 1073.350674, 1073.412153, 1073.420431, 1073.559554, 1073.446371, 1073.257802, 1073.475193, 1073.329353, 1073.531932, 1073.547784]",1704592684923,True,23.82625199999893
