chunk_size_i,chunk_size_fpos,chunk_size_k,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,compute_time,iterations,repeats,wait_between_repeats,wait_after_run
256,32,64,2,14,0,1,1,"(0, 1, 4, 3, 2)",10.3298915,10,5,0,10
256,64,32,2,7,2,0,1,"(0, 1, 2, 3, 4)",16.606862999999997,10,5,0,10
256,16,4,2,8,2,0,0,"(1, 0, 2, 3, 4)",1.357209,10,5,0,10
64,256,8,8,16,2,0,1,"(1, 0, 4, 3, 2)",11.635121,10,5,0,10
64,32,2,16,12,0,1,1,"(1, 0, 4, 3, 2)",2.6220635000000003,10,5,0,10
128,8,8,1,5,1,0,1,"(0, 1, 2, 4, 3)",17.819062000000002,10,5,0,10
128,8,32,16,13,1,0,1,"(1, 0, 2, 3, 4)",22.809556,10,5,0,10
16,16,128,2,15,2,1,0,"(4, 0, 3, 2, 1)",118.545476,10,5,0,10
4,16,32,32,10,1,0,1,"(1, 0, 4, 3, 2)",79.76074299999999,10,5,0,10
128,16,4,32,20,0,0,0,"(0, 4, 3, 2, 1)",15.1002875,10,5,0,10
32,64,256,8,8,2,1,1,"(1, 0, 4, 3, 2)",65.854637,10,5,0,10
8,256,2,1,17,2,0,1,"(0, 1, 2, 4, 3)",56.8453715,10,5,0,10
16,64,4,32,4,2,0,0,"(0, 4, 2, 3, 1)",106.45687,10,5,0,10
8,64,2,4,3,1,0,1,"(0, 1, 4, 2, 3)",441.8849035,10,5,0,10
4,2,32,8,12,1,0,1,"(0, 4, 3, 2, 1)",125.0844915,10,5,0,10
4,2,8,8,8,1,1,1,"(1, 0, 2, 4, 3)",148.512162,10,5,0,10
2,256,256,16,5,2,1,1,"(0, 1, 4, 3, 2)",176.3764675,10,5,0,10
4,2,8,8,16,2,1,1,"(0, 4, 3, 2, 1)",470.101668,10,5,0,10
8,64,8,32,3,2,0,0,"(1, 0, 2, 4, 3)",146.9338475,10,5,0,10
4,16,16,8,17,0,1,0,"(0, 4, 2, 3, 1)",472.57622,10,5,0,10
32,256,32,4,18,2,1,1,"(4, 0, 2, 3, 1)",60.6431755,10,5,0,10
8,8,8,1,6,2,1,0,"(1, 0, 2, 3, 4)",221.819752,10,5,0,10
64,256,128,32,9,0,0,0,"(1, 0, 2, 4, 3)",114.312602,10,5,0,10
128,64,8,4,5,1,1,1,"(0, 1, 2, 3, 4)",5.438352999999999,10,5,0,10
128,4,16,2,6,0,1,1,"(0, 1, 2, 3, 4)",9.2827,10,5,0,10
128,2,16,1,14,0,0,0,"(0, 1, 2, 4, 3)",42.4654235,10,5,0,10
32,2,128,2,2,1,0,0,"(1, 0, 4, 3, 2)",750.414044,10,5,0,10
32,4,2,16,8,2,0,1,"(1, 0, 4, 2, 3)",114.8697315,10,5,0,10
32,4,4,4,17,0,1,0,"(0, 1, 2, 3, 4)",67.44897399999999,10,5,0,10
8,2,64,1,14,1,1,0,"(4, 0, 2, 3, 1)",62.8784495,10,5,0,10
64,32,4,16,13,2,0,0,"(0, 1, 4, 2, 3)",10.4980285,10,5,0,10
64,128,2,4,5,0,1,1,"(4, 0, 2, 3, 1)",30.1820455,10,5,0,10
256,128,2,32,4,0,1,1,"(1, 0, 4, 3, 2)",1.345004,10,5,0,10
32,32,16,4,10,2,0,1,"(1, 0, 2, 3, 4)",10.260601,10,5,0,10
128,256,256,4,6,2,1,0,"(0, 4, 2, 3, 1)",29.027457,10,5,0,10
32,128,4,8,4,1,1,0,"(4, 0, 2, 3, 1)",60.265577500000006,10,5,0,10
16,256,2,2,17,1,0,1,"(1, 0, 4, 3, 2)",4.3301695,10,5,0,10
4,2,2,2,9,2,0,1,"(0, 1, 4, 3, 2)",417.67299,10,5,0,10
256,128,2,4,7,2,1,1,"(0, 1, 2, 4, 3)",2.0050595,10,5,0,10
256,64,128,8,8,0,1,1,"(1, 0, 2, 4, 3)",26.0803855,10,5,0,10
32,4,16,8,13,1,1,0,"(1, 0, 4, 3, 2)",21.2783365,10,5,0,10
256,64,256,8,4,0,0,1,"(1, 0, 2, 4, 3)",31.2004785,10,5,0,10
