chunk_size_i,chunk_size_fpos,chunk_size_k,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,repeats,wait_between_repeats,wait_after_run,iterations,compute_time
256,32,64,2,14,0,1,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,1.07795
256,64,32,2,7,2,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,5.8290165
256,16,4,2,8,2,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,2.957789
16,16,128,2,15,2,1,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,45.904733500000006
64,32,2,16,12,0,1,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,2.3370765000000002
4,2,8,8,16,2,1,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,322.8386765
4,16,32,32,10,1,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,77.89211850000001
64,256,8,8,16,2,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,1.439285
32,2,128,2,2,1,0,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,478.502558
128,16,4,32,20,0,0,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,6.615785000000001
4,2,8,8,8,1,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,416.9551065
4,16,16,8,17,0,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,189.264958
64,32,4,16,13,2,0,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,7.995546
8,64,2,4,3,1,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,469.672372
4,2,2,2,9,2,0,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,914.6831745
128,8,8,1,5,1,0,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,33.1984485
128,8,32,16,13,1,0,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,11.6763385
8,64,8,32,3,2,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,209.919808
16,64,4,32,4,2,0,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,48.5988075
2,256,256,16,5,2,1,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,825.088054
32,256,32,4,18,2,1,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,52.910055
32,64,256,8,8,2,1,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,15.727904500000001
256,128,2,32,4,0,1,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,5.8333475
64,256,128,32,9,0,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,109.588852
8,256,2,1,17,2,0,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,24.361801
4,4,64,2,5,2,1,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,520.001671
4,2,32,8,12,1,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,82.4504175
32,4,16,8,13,1,1,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,112.1299865
8,8,8,1,6,2,1,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,132.0832995
256,64,256,8,4,0,0,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,89.4670625
128,256,256,4,6,2,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,14.7791355
128,64,8,4,5,1,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,7.398
64,128,2,4,5,0,1,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,22.34147
32,4,4,4,17,0,1,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,42.386821
8,2,64,1,14,1,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,161.58644149999998
4,128,256,4,15,0,0,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,493.561822
4,64,64,1,10,1,0,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,529.3731385
128,2,16,1,14,0,0,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,22.2722185
128,8,8,2,16,0,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,2.9447075
128,4,16,2,6,0,1,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,14.254224
8,2,64,4,13,0,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,437.068037
32,128,4,8,4,1,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,41.4301445
256,64,128,8,8,0,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,32.580739
256,64,8,4,10,2,1,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,0.774131
32,256,2,16,13,2,0,1,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,14.6753235
32,4,2,16,8,2,0,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,17.0990055
16,256,2,2,17,1,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,4.840809999999999
32,32,16,4,10,2,0,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,24.855963
16,8,256,1,4,1,1,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,2492.6502495
256,128,2,4,7,2,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,2.5586884999999997
32,2,256,1,7,0,0,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,448.8919095
128,128,8,16,13,1,1,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,0.939837
128,4,64,16,3,2,1,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,2.884943
4,16,16,8,14,2,0,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,143.331297
8,32,8,16,4,0,0,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,57.853581000000005
128,8,4,2,17,0,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,6.7760055
128,16,64,2,14,0,1,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,8.976486000000001
4,128,2,1,15,1,0,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,36.0588705
4,2,128,2,20,2,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,323.50248799999997
2,256,8,2,5,0,0,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,646.67397
2,2,32,32,8,0,0,1,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,822.7764835
8,256,64,32,15,1,1,0,"(0, 1, 2, 3, 4)",5,0.0,10.0,10,86.4685865
16,128,8,32,20,1,1,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,29.1885425
2,2,128,8,4,1,0,0,"(0, 1, 4, 2, 3)",5,0.0,10.0,10,16418.960066
64,2,256,1,17,2,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,20.9246055
8,64,2,1,9,2,1,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,147.9722885
128,2,2,16,8,1,1,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,34.053561
64,128,8,16,3,2,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,20.879261999999997
2,4,256,4,18,2,0,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,2359.369592
8,2,16,2,11,0,0,0,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,118.438954
8,4,16,1,12,0,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,161.5589465
128,128,32,2,17,1,0,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,11.988176
2,2,64,8,13,0,1,1,"(0, 1, 2, 4, 3)",5,0.0,10.0,10,1675.3807040000002
64,16,32,4,13,1,1,0,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,124.07947999999999
8,2,64,16,17,2,0,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,161.6052735
16,128,16,4,4,1,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,87.736856
4,16,2,1,18,0,1,0,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,322.8581885
8,128,128,1,19,1,0,1,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,98.21437
4,2,8,16,18,0,1,1,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,62.817085000000006
8,16,32,8,18,0,1,0,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,161.60448350000001
8,16,32,1,5,0,0,1,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,442.8223575
8,2,256,16,14,0,1,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,162.1272055
128,16,64,4,10,0,0,1,"(4, 0, 3, 2, 1)",5,0.0,10.0,10,10.4861825
16,8,2,16,5,1,0,0,"(1, 0, 2, 3, 4)",5,0.0,10.0,10,65.7320385
2,64,32,32,5,0,1,1,"(1, 0, 4, 2, 3)",5,0.0,10.0,10,2357.5599815
4,32,16,2,6,1,0,0,"(1, 0, 2, 4, 3)",5,0.0,10.0,10,133.7669305
16,256,32,8,17,2,1,1,"(0, 4, 2, 3, 1)",5,0.0,10.0,10,82.190463
32,2,256,1,8,2,0,1,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,10.5895795
4,2,2,2,13,0,0,1,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,380.405808
4,256,32,4,14,2,0,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,18.516694
128,32,8,4,16,1,0,0,"(0, 1, 4, 3, 2)",5,0.0,10.0,10,13.6981295
128,8,64,32,12,0,0,1,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,10.479106
128,128,2,4,14,0,1,0,"(4, 0, 2, 3, 1)",5,0.0,10.0,10,10.5529355
4,8,2,32,14,0,0,0,"(1, 0, 4, 3, 2)",5,0.0,10.0,10,48.367709500000004
32,256,32,4,15,2,1,0,"(0, 4, 3, 2, 1)",5,0.0,10.0,10,41.4884395
